ID,Name,Data type,Repeatable,Description,Legal Status,Level,Element,eformsNotice,sfNotice,XPATH
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,2,8,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,20,21,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,21,22,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,22,19,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,23,12,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,24,12,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,25,15,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,26,15,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,27,15,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,28,15,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,29,3,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,3,22,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,3,8,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,30,6,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,31,18,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,32,25,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,33,21,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,34,21,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,35,23,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,36,13,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,37,13,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,38,20,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,39,20,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,4,1,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,4,21,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,40,20,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,5,22,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,5,4,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,6,16,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,7,1,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,8,4,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,1,8,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,10,1,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,11,4,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,12,21,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,15,7,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,16,2,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,17,5,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,18,17,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,19,24,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,2,8,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,20,21,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,21,22,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,22,19,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,23,12,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,24,12,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,25,15,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,26,15,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,27,15,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,28,15,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,29,3,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,3,22,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,3,8,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,30,6,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,31,18,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,32,25,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,33,21,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,34,21,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,35,23,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,36,13,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,37,13,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,38,20,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,39,20,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,4,1,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,4,21,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,40,20,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,5,22,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,5,4,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,6,16,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,7,1,/*/cbc:NoticeTypeCode
BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,8,4,/*/cbc:NoticeTypeCode
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,1,8,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,10,1,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,11,4,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,12,21,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,15,7,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,16,2,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,17,5,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,18,17,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,19,24,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,2,8,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,20,21,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,21,22,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,22,19,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,23,12,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,24,12,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,25,15,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,26,15,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,27,15,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,28,15,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,29,3,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,3,22,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,3,8,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,30,6,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,31,18,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,32,25,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,33,21,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,34,21,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,35,23,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,36,13,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,37,13,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,38,20,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,39,20,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,4,1,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,4,21,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,40,20,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,5,22,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,5,4,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,6,16,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,7,1,/*/cbc:NoticeTypeCode/@listName
BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,8,4,/*/cbc:NoticeTypeCode/@listName
BT-04,Procedure Identifier,Identifier,No,"The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.",M,new term overall,,10,1,/*/cbc:ContractFolderID
BT-04,Procedure Identifier,Identifier,No,"The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.",M,new term overall,,11,4,/*/cbc:ContractFolderID
BT-04,Procedure Identifier,Identifier,No,"The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.",M,new term overall,,12,21,/*/cbc:ContractFolderID
BT-04,Procedure Identifier,Identifier,No,"The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.",M,new term overall,,15,7,/*/cbc:ContractFolderID
BT-04,Procedure Identifier,Identifier,No,"The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.",M,new term overall,,16,2,/*/cbc:ContractFolderID
BT-04,Procedure Identifier,Identifier,No,"The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.",M,new term overall,,17,5,/*/cbc:ContractFolderID
BT-04,Procedure Identifier,Identifier,No,"The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.",M,new term overall,,18,17,/*/cbc:ContractFolderID
BT-04,Procedure Identifier,Identifier,No,"The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.",M,new term overall,,19,24,/*/cbc:ContractFolderID
BT-04,Procedure Identifier,Identifier,No,"The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.",M,new term overall,,20,21,/*/cbc:ContractFolderID
BT-04,Procedure Identifier,Identifier,No,"The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.",M,new term overall,,21,22,/*/cbc:ContractFolderID
BT-04,Procedure Identifier,Identifier,No,"The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.",M,new term overall,,22,19,/*/cbc:ContractFolderID
BT-04,Procedure Identifier,Identifier,No,"The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.",M,new term overall,,23,12,/*/cbc:ContractFolderID
BT-04,Procedure Identifier,Identifier,No,"The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.",M,new term overall,,24,12,/*/cbc:ContractFolderID
BT-04,Procedure Identifier,Identifier,No,"The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.",M,new term overall,,25,15,/*/cbc:ContractFolderID
