Name,eformsNotice,sfNotice,eforms_xpath,BT,sfLevel,BG_lvl1,BG_lvl2,BG_lvl3,guidance,status,comments
Strategic Procurement,31,18,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ProcurementAdditionalType/cbc:ProcurementTypeCode[@listName='strategic-procurement'],BT-06,new term overall,BG-713,,,,,
Strategic Procurement Notice Section Identifier,31,18,,BT-13721,new term overall,BG-713,,,,,
Vehicles,31,18,/ContractAwardNotice/cac:TenderResult/cac:AwardedTenderedProject/cac:ProcurementProjectLot/cac:ProcurementProject/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:StrategicProjectsStatistics[./efbc:StatisticsCode/text()='vehicles']/efbc:StatisticalNumeric,BT-715,new term overall,BG-713,,,,,
Vehicles Clean,31,18,/ContractAwardNotice/cac:TenderResult/cac:AwardedTenderedProject/cac:ProcurementProjectLot/cac:ProcurementProject/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:StrategicProjectsStatistics[./efbc:StatisticsCode/text()='vehicles-clean']/efbc:StatisticalNumeric,BT-716,new term overall,BG-713,,,,,
Vehicles Zero Emission,31,18,/ContractAwardNotice/cac:TenderResult/cac:AwardedTenderedProject/cac:ProcurementProjectLot/cac:ProcurementProject/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:StrategicProjectsStatistics[./efbc:StatisticsCode/text()='vehicles-zero-emission']/efbc:StatisticalNumeric,BT-725,new term overall,BG-713,,,,,
Accessibility,31,18,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ProcurementAdditionalType/cbc:ProcurementTypeCode[@listName='accessibility'],BT-754,new term overall,BG-713,,,,,
Accessibility Justification,31,18,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ProcurementAdditionalType/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/cbc:Description,BT-755,new term overall,BG-713,,,,,
Green Procurement,31,18,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ProcurementAdditionalType/cbc:ProcurementTypeCode[@listName='environmental-impact'],BT-774,new term overall,BG-713,,,,,
Social Procurement,31,18,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ProcurementAdditionalType/cbc:ProcurementTypeCode[@listName='social-procurement'],BT-775,new term overall,BG-713,,,,,
Innovative Procurement,31,18,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ProcurementAdditionalType/cbc:ProcurementTypeCode[@listName='innovative-acquisition'],BT-776,new term overall,BG-713,,,,,
Strategic Procurement Description,31,18,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ProcurementAdditionalType/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/cbc:Description,BT-777,new term overall,BG-713,,,,,
Unpublished Identifier,31,18,,BT-195,new term overall,BG-8,,,,,
Unpublished Justification Description,31,18,,BT-196,new term overall,BG-8,,,,,
Unpublished Justification Code,31,18,,BT-197,new term overall,BG-8,,,,,
Unpublished Accessibility Date,31,18,,BT-198,new term overall,BG-8,,,,,
Procedure Legal Basis,32,25,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID;/*/cbc:RegulatoryDomain,BT-01,new term overall,BG-1,,,,,
Notice Type,32,25,/*/cbc:NoticeTypeCode,BT-02,new term overall,BG-1,,,,,
Form Type,32,25,/*/cbc:NoticeTypeCode/@listName,BT-03,new term overall,BG-1,,,,,
Procedure Identifier,32,25,/*/cbc:ContractFolderID,BT-04,new term overall,BG-1,,,,,
Notice Dispatch Date,32,25,/*/cbc:IssueDate;/*/cbc:IssueTime,BT-05,VI.5,BG-1,,,Map to `date`,imported_from_sf,
Notice Identifier,32,25,/*/cbc:ID,BT-701,new term overall,BG-1,,,,,
Notice Official Language,32,25,/*/cac:AdditionalNoticeLanguage/cbc:ID;/*/cbc:NoticeLanguageCode,BT-702,new term overall,BG-1,,,,,
Notice Publication Date Preferred,32,25,/*/cbc:RequestedPublicationDate,BT-738,new term overall,BG-1,,,,,
Notice Version,32,25,/*/cbc:VersionID,BT-757,new term overall,BG-1,,,,,
Communication Lot Identifier,32,25,,BT-13712,new term,BG-100,,,,,
Review Deadline Description,32,25,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:PresentationPeriod/cbc:Description,BT-99,VI.4.3,BG-100,,,Map to `tender.reviewDetails`,imported_from_sf,
Previous Planning Identifier,32,25,/*/cac:ProcurementProjectLot/cac:NoticeDocumentReference/cbc:ID;/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:NoticeDocumentReference/cbc:VersionID,BT-125,IV.2.1,BG-125,,,[Reference a previous publication](../../operations/#reference-a-previous-publication),imported_from_sf,
Previous Planning Part Identifier,32,25,/*/cac:ProcurementProjectLot/cac:TenderingProcess/cac:NoticeDocumentReference/cbc:ReferencedDocumentInternalAddress,BT-1251,new term overall,BG-125,,,,,
Previous Planning Lot Identifier,32,25,,BT-1371,new term overall,BG-125,,,,,
Purpose Lot Identifier,32,25,/*/cac:ProcurementProjectLot/cbc:ID,BT-137,II.2.1.1,BG-2,,,"If not set, let *Lot No* be '1'. Map to the lot's `.id` (string), map to the item's `.id` (string), and map to the item's `.relatedLot` (string).",imported_from_sf,
Title,32,25,/*/cac:ProcurementProject/cbc:Name;/*/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:Name,BT-21,II.1.1,BG-2,,,Map to `tender.title`,imported_from_sf,
Internal Identifier,32,25,/*/cac:ProcurementProject/cbc:ID;/*/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:ID,BT-22,II.1.1.1,BG-2,,,"If not set, let *Reference number* be equal to the `ocid` value. Map to `tender.id` (string).",imported_from_sf,
Main Nature,32,25,/*/cac:ProcurementProject/cbc:ProcurementTypeCode;/*/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:ProcurementTypeCode[@listName='contract-nature'],BT-23,II.1.3,BG-2,,,Set `tender.mainProcurementCategory` as follows:,imported_from_sf,
Description,32,25,/*/cac:ProcurementProject/cbc:Description;/*/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:Description,BT-24,II.1.4,BG-2,,,Map to `tender.description`,imported_from_sf,
Quantity,32,25,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:EstimatedOverallContractQuantity,BT-25,new term,BG-2,,,,,
Estimated Value,32,25,/*/cac:ProcurementProject/cac:RequestedTenderTotal/cbc:EstimatedOverallContractAmount;/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:RequestedTenderTotal/cbc:EstimatedOverallContractAmount,BT-27,II.1.5.1,BG-2,,,Map to `tender.value.amount`,imported_from_sf,
Options,32,25,,BT-53,new term,BG-2,,,,,
Additional Nature,32,25,/*/cac:ProcurementProject/cbc:ProcurementAdditionalType/cbc:ProcurementTypeCode;/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ProcurementAdditionalType/cbc:ProcurementTypeCode[@listName='contract-nature'],BT-531,new term,BG-2,,,,,
Options Description,32,25,,BT-54,new term,BG-2,,,,,
Unit,32,25,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cbc:EstimatedOverallContractQuantity/@quantityUnitCode,BT-625,new term overall,BG-2,,,,,
Classification Type,32,25,/*/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode/@listName;/*/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode/@listName;/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode/@listname  /*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode/@listName,BT-26,new term overall,BG-2,BG-261,,,,
Main Classification Code,32,25,/*/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode;/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode,BT-262,II.1.2,BG-2,BG-261,,"Set `tender.classification.scheme` to 'CPV', take the CPV code in the `CODE` attribute, and map to `tender.classification.id`",imported_from_sf,
Additional Classification Codes,32,25,/*/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode;/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode,BT-263,new term overall,BG-2,BG-261,,,,
Duration Lot Identifier,32,25,,BT-1373,II.2.1.1,BG-36,,,"If not set, let *Lot No* be '1'. Map to the lot's `.id` (string), map to the item's `.id` (string), and map to the item's `.relatedLot` (string).",imported_from_sf,
Duration Period,32,25,/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:PlannedPeriod/cbc:DurationMeasure,BT-36,II.2.7.1,BG-36,,,,,
Duration Start Date,32,25,/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:PlannedPeriod/cbc:StartDate,BT-536,II.2.7.2,BG-36,,,Map to the lot's `.contractPeriod.startDate`,imported_from_sf,
Duration End Date,32,25,/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:PlannedPeriod/cbc:EndDate,BT-537,II.2.7.3,BG-36,,,Map to the lot's `.contractPeriod.endDate`,imported_from_sf,
Duration Other,32,25,/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:PlannedPeriod/cbc:DescriptionCode,BT-538,new term,BG-36,,,,,
Renewal Description,32,25,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ContractExtension/cac:Renewal/cac:Period/cbc:Description,BT-57,new term,BG-36,,,,,
Renewal Maximum,32,25,/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ContractExtension/cbc:MaximumNumberNumeric,BT-58,new term,BG-36,,,,,
Cross Border Law,32,25,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription;/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID,BT-09,new term,BG-6,,,,,
Direct Award Justification Previous Procedure Identifier,32,25,/ContractAwardNotice/cac:TenderResult/cac:AwardedTenderedProject/cac:ProcurementProjectLot/cac:TenderingProcess/cac:ProcessJustification[./cbc:ProcessReasonCode/@listName='direct-award-justification']/cbc:Description,BT-1252,new term,BG-6,,,,,
Direct Award Justification Text,32,25,/ContractAwardNotice/cac:TenderResult/cac:AwardedTenderedProject/cac:ProcurementProjectLot/cac:TenderingProcess/cac:ProcessJustification[./cbc:ProcessReasonCode/@listName='direct-award-justification']/cbc:ProcessReason,BT-135,3.1,BG-6,,,,,
Direct Award Justification Code,32,25,/ContractAwardNotice/cac:TenderResult/cac:AwardedTenderedProject/cac:ProcurementProjectLot/cac:TenderingProcess/cac:ProcessJustification/cbc:ProcessReasonCode[@listName='direct-award-justification'],BT-136,Annex D4 multiple choices,BG-6,,,,,
Procedure Features,32,25,/*/cac:TenderingProcess/cbc:Description,BT-88,IV.1.11,BG-6,,,Map to `tender.awardCriteriaDetails`,imported_from_sf,
Funds Lot Identifier,32,25,,BT-1374,II.2.1.1,BG-61,,,"If not set, let *Lot No* be '1'. Map to the lot's `.id` (string), map to the item's `.id` (string), and map to the item's `.relatedLot` (string).",imported_from_sf,
EU Funds,32,25,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cbc:FundingProgramCode[@listName='eu-funded'],BT-60,II.2.13.1,BG-61,,,"* Get the `Organization` object whose `.name` is 'European Union'. If none exists yet:\n  * [Add a party](../../operations/#add-a-party)\n  * Set its `.name` to 'European Union'\n* Add 'funder' to its `.roles`\n\n* Get the `Finance` object whose `.description` is the *Identification of the project*. If none exists yet:\n  * Add a `Finance` object to the `planning.budget.finance` array\n  * Map the *Identification of the project* to its `.description`\n  * Set its `.id` incrementally\n  * Set its `.financingParty.name` to 'European Union'\n  * Set its `.financingParty.id` to the party's `.id`\n  * Add the lot's `.id` to its `.relatedLots` (**F12, F13**: Instead, do nothing)\n\nIn [future forms](https://github.com/eForms/eForms/issues/181#issuecomment-439861320), this field will be de-emphasized.",imported_from_sf,
Buyer Review Lot Identifier,32,25,,BT-13722,new term overall,BG-612,,,,,
Buyer Review Complainants,32,25,,BT-712,new term overall,BG-612,,,,,
Buyer Review Requests Count,32,25,,BT-635,new term overall,BG-612,BG-613,,,,
Buyer Review Requests Irregularity Type,32,25,,BT-636,new term overall,BG-612,BG-613,,,,
Notice Value,32,25,/*/cac:ProcurementProject/cac:RequestedTenderTotal/cbc:TotalAmount,BT-161,II.1.7.1,BG-7,,,,,
Result Lot Identifier,32,25,,BT-13713,(Section V),BG-7,BG-137,,,,
Winner Chosen,32,25,/ContractAwardNotice/cac:TenderResult/cbc:TenderResultCode[@listName='winner-selection-status'],BT-142,(Section V),BG-7,BG-137,,,,
Not Awarded Reason,32,25,/ContractAwardNotice/cac:TenderResult/cbc:TenderResultCode[@listName='non-award-justification'],BT-144,V.1.1,BG-7,BG-137,,Set the award's `.statusDetails` to 'unsuccessful'\n\nThere's an open issue ([#764](https://github.com/open-contracting/standard/issues/764)) about status details. (ISSUE),imported_from_sf,
Received Submissions Count,32,25,/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:ReceivedSubmissionsStatistics/efbc:StatisticalNumeric,BT-759,V.2.2.1,BG-7,BG-137,BG-712,,,
Received Submissions Type,32,25,/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:ReceivedSubmissionsStatistics/efbc:StatisticsCode[@listName='received-submission-type'],BT-760,V.2.2.2,BG-7,BG-137,BG-712,"[Add a bids statistic](../../operations/#add-a-bids-statistic), set its `.measure` to 'bids', set its `.relatedLot` to the award's only `.relatedLots` entry, and map to its `.value`.",imported_from_sf,
Contract Conclusion Date,32,25,/ContractAwardNotice/cac:TenderResult/cac:Contract/cbc:IssueDate,BT-145,V.2.1,BG-7,BG-310,,Map to the contract's `.dateSigned`,imported_from_sf,
Winner Decision Date,32,25,/ContractAwardNotice/cac:TenderResult/cbc:AwardDate,BT-1451,new term,BG-7,BG-310,,,,
Contract Identifier,32,25,/ContractAwardNotice/cac:TenderResult/cac:Contract/cbc:ID,BT-150,new term,BG-7,BG-310,,,,
Contract URL,32,25,/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Attachment/cac:ExternalReference/cbc:URI,BT-151,new term overall,BG-7,BG-310,,,,
Contract Tender Identifier,32,25,,BT-3202,new term overall,BG-7,BG-310,,,,
Contract Title,32,25,/ContractAwardNotice/cac:TenderResult/cac:Contract/cbc:Description,BT-721,(Section V),BG-7,BG-310,,,,
Contract Framework Agreement,32,25,/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cbc:DocumentTypeCode[./text()='fa-setting-notice'],BT-768,new term overall,BG-7,BG-310,,,,
Contract EU Funds Identifier,32,25,/ContractAwardNotice/cac:TenderResult/cac:AwardedTenderedProject/cac:ProcurementProjectLot/cac:TenderingTerms/cbc:FundingProgramCode,BT-5011,II.2.13.2,BG-7,BG-310,BG-611,,,
Contract EU Funds Name,32,25,/ContractAwardNotice/cac:TenderResult/cac:AwardedTenderedProject/cac:ProcurementProjectLot/cac:TenderingTerms/cbc:FundingProgram,BT-722,new term overall,BG-7,BG-310,BG-611,,,
Tender Lot Identifier,32,25,/ContractAwardNotice/cac:TenderResult/cac:AwardedTenderedProject/cac:ProcurementProjectLot/cbc:ID,BT-13714,new term overall,BG-7,BG-320,,,,
Concession Revenue Buyer,32,25,/ContractAwardNotice/cac:TenderResult/cac:AwardedTenderedProject/cac:AdditionalFee[cbc:FeeTypeCode/text()='concession-revenue-buyer']/cbc:FeeAmount,BT-160,new term,BG-7,BG-320,,,,
Concession Revenue User,32,25,/ContractAwardNotice/cac:TenderResult/cac:AwardedTenderedProject/cac:AdditionalFee[cbc:FeeTypeCode/text()='concession-revenue-user']/cbc:FeeAmount,BT-162,new term,BG-7,BG-320,,,,
Concession Value Description,32,25,/ContractAwardNotice/cac:TenderResult/cac:AwardedTenderedProject/cac:AdditionalFee/cbc:FeeDescription,BT-163,II.1.5.3,BG-7,BG-320,,,,
Tender Variant,32,25,/ContractAwardNotice/cac:TenderResult/cac:AwardedTenderedProject/cbc:TenderEnvelopeTypeCode,BT-193,new term,BG-7,BG-320,,,,
Tender Identifier,32,25,/ContractAwardNotice/cac:TenderResult/cac:AwardedTenderedProject/cbc:TenderEnvelopeID;/ContractAwardNotice/cac:TenderResult/cac:AwardedTenderedProject/cbc:VariantID,BT-3201,new term overall,BG-7,BG-320,,,,
Tender Value,32,25,/ContractAwardNotice/cac:TenderResult/cac:AwardedTenderedProject/cac:LegalMonetaryTotal/cbc:PayableAmount,BT-720,V.2.4.2,BG-7,BG-320,,Discard. The *Initial estimated total value of the contract/lot* is available in the OCDS release with the same `ocid` as this release and with 'tender' in its `tag`.,imported_from_sf,
Subcontracting Value,32,25,/ContractAwardNotice/cac:TenderResult/cac:SubcontractTerms/cbc:Amount[@currencyID],BT-553,new term,BG-7,BG-320,BG-180,,,
Subcontracting Description,32,25,/ContractAwardNotice/cac:TenderResult/cac:SubcontractTerms/cbc:Description,BT-554,new term,BG-7,BG-320,BG-180,,,
Subcontracting Percentage,32,25,/ContractAwardNotice/cac:TenderResult/cac:SubcontractTerms/cbc:Rate,BT-555,new term,BG-7,BG-320,BG-180,,,
Subcontracting Value Known,32,25,/ContractAwardNotice/cac:TenderResult/cac:SubcontractTerms/cbc:SubcontractingConditionsCode[@listName='known-value'],BT-730,new term,BG-7,BG-320,BG-180,,,
Subcontracting Percentage Known,32,25,/ContractAwardNotice/cac:TenderResult/cac:SubcontractTerms/cbc:SubcontractingConditionsCode[@listName='known-percentage'],BT-731,new term,BG-7,BG-320,BG-180,,,
Subcontracting,32,25,/ContractAwardNotice/cac:TenderResult/cac:SubcontractTerms/cbc:SubcontractingConditionsCode[@listName='applicability'],BT-773,new term,BG-7,BG-320,BG-180,,,
Organisation Role,32,25,,BT-08,new term overall,BG-703,,,,,
Organisation Notice Section Identifier,32,25,,BT-13720,new term overall,BG-703,,,,,
Organisation Part Name,32,25,/*/cac:ContractingParty/cac:Party/cac:PostalAddress/cbc:Department;/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:Department;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PostalAddress/cbc:Department;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PostalAddress/cbc:Department;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PostalAddress/cbc:Department;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PostalAddress/cbc:Department;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PostalAddress/cbc:Department;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:Department;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:Department;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:Department;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PostalAddress/cbc:Department;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PostalAddress/cbc:Department;/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PostalAddress/cbc:Department;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cac:PostalAddress/cbc:Department;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cac:PostalAddress/cbc:Department;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cac:PostalAddress/cbc:Department;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cac:PostalAddress/cbc:Department;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:Department;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:PostalAddress/cbc:Department,BT-16,new term overall,BG-703,,,,,
Organisation Name,32,25,/*/cac:ContractingParty/cac:Party/cac:PartyName/cbc:Name;/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PartyName/cbc:Name;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PartyName/cbc:Name;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PartyName/cbc:Name;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PartyName/cbc:Name;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PartyName/cbc:Name;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PartyName/cbc:Name;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PartyName/cbc:Name;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PartyName/cbc:Name;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PartyName/cbc:Name;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PartyName/cbc:Name;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PartyName/cbc:Name;/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PartyName/cbc:Name;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cac:PartyName/cbc:Name;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cac:PartyName/cbc:Name;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cac:PartyName/cbc:Name;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cac:PartyName/cbc:Name;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PartyName/cbc:Name;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:PartyName/cbc:Name,BT-500,I.1.1,BG-703,,,Map to the party's `.name` and `.identifier.legalName`,imported_from_sf,
Organisation Identifier,32,25,/*/cac:ContractingParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID;/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PartyLegalEntity/cbc:CompanyID;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PartyLegalEntity/cbc:CompanyID;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PartyLegalEntity/cbc:CompanyID;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PartyLegalEntity/cbc:CompanyID;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PartyLegalEntity/cbc:CompanyID;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PartyLegalEntity/cbc:CompanyID;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PartyLegalEntity/cbc:CompanyID;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PartyLegalEntity/cbc:CompanyID;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PartyLegalEntity/cbc:CompanyID;/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PartyLegalEntity/cbc:CompanyID;/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PartyLegalEntity/cbc:CompanyID;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cac:PartyLegalEntity/cbc:CompanyID;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cac:PartyLegalEntity/cbc:CompanyID;/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cac:PartyLegalEntity/cbc:CompanyID;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cac:PartyLegalEntity/cbc:CompanyID;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID;/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:PartyLegalEntity/cbc:CompanyID,BT-501,I.1.2,BG-703,,,"Map to the party's `.identifier.id`, and [set `.identifier.scheme`](https://standard.open-contracting.org/1.1/en/schema/identifiers/#organization-ids)",imported_from_sf,
