id,eforms_xpath,group,bt,name,notes
57,/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID,procurementServiceProvider,BT-501,Identifier,
58,/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:Department,procurementServiceProvider,BT-16,Part Name,
59,/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:StreetName,procurementServiceProvider,BT-510,Street,
60,/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:CityName,procurementServiceProvider,BT-513,City,
61,/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:PostalZone,procurementServiceProvider,BT-512,Post Code,
62,/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:CountrySubentityCode,procurementServiceProvider,BT-507,Country Subdivision,NUTS3 code
63,/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:IdentificationCode,procurementServiceProvider,BT-514,Country Code,
64,/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:Contact/cbc:Name,procurementServiceProvider,BT-502,Contact Point,
65,/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:Contact/cbc:ElectronicMail,procurementServiceProvider,BT-506,Contact Email Address,
66,/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:Contact/cbc:Telephone,procurementServiceProvider,BT-503,Contact Telephone Number,
67,/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:Contact/cbc:Telefax,procurementServiceProvider,BT-739,Contact Fax,
68,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID,procedure_tenderingTerms,BT-09,Cross Border Law,
69,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription,procedure_tenderingTerms,BT-09,Cross Border Law,Description of the CBL.
70,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID,procedure_tenderingTerms,BT-01,Procedure Legal Basis (ELI),"For local Legal Basis: ELI, or when not available, identifier following a predefined pattern"
71,/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription,procedure_tenderingTerms,BT-01,Procedure Legal Basis (text),Mandatory when no ELI available. Text description of the local Legal Basis.
72,/*/cac:TenderingTerms/cac:TendererQualificationRequest/cac:SpecificTendererRequirement/cbc:TendererRequirementTypeCode[@listName='exclusion-ground'],procedure_tenderingTerms,BT-67,Exclusion Grounds,Identification of ‘exclusion-ground'
73,/*/cac:TenderingTerms/cac:TendererQualificationRequest/cac:SpecificTendererRequirement/cbc:Description,procedure_tenderingTerms,BT-67,Exclusion Grounds,Description of the Exclusion Ground
74,/*/cac:TenderingTerms/cac:LotDistribution/cbc:MaximumLotsAwardedNumeric,procedure_tenderingTerms,BT-33,Lots Max Awarded,
75,/*/cac:TenderingTerms/cac:LotDistribution/cbc:MaximumLotsSubmittedNumeric,procedure_tenderingTerms,BT-31,Lots Max Allowed,
76,/*/cac:TenderingTerms/cac:LotDistribution/cac:LotsGroup/cbc:LotsGroupID,procedure_tenderingTerms,BT-330,Group Identifier,
77,/*/cac:TenderingTerms/cac:LotDistribution/cac:LotsGroup/cac:ProcurementProjectLotReference/cbc:ID[@schemeName='Lot'],procedure_tenderingTerms,BT-1375,Group Lot Identifier,
78,/*/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efbc:ProcedureRelaunchIndicator,procedure_tenderingProcess,BT-634,Procurement Relaunch,
79,/*/cac:TenderingProcess/cbc:Description,procedure_tenderingProcess,BT-88,Procedure Features,
80,/*/cac:TenderingProcess/cbc:ProcedureCode,procedure_tenderingProcess,BT-105,Procedure Type,
81,,procedure_tenderingProcess,,,
82,/ContractAwardNotice/cac:TenderingProcess/cbc:TerminatedIndicator,procedure_tenderingProcess,BT-756,PIN Competition Termination,
83,/*/cac:TenderingProcess/cbc:PartPresentationCode,procedure_tenderingProcess,BT-763,Lots All Required,
84,/*/cac:TenderingProcess/cac:ProcessJustification/cbc:ProcessReasonCode[@listName='accelerated-procedure-justification'],procedure_tenderingProcess,BT-106,Procedure Accelerated,
85,/*/cac:TenderingProcess/cac:ProcessJustification[cbc:ProcessReasonCode/@listName='accelerated-procedure-justification']/cbc:ProcessReason,procedure_tenderingProcess,BT-1351,Procedure Accelerated Justification,
86,/*/cac:ProcurementProject/cbc:ID,procedure_procurementProject,BT-22,Internal Identifier,
87,/*/cac:ProcurementProject/cbc:Name,procedure_procurementProject,BT-21,Title,
88,/*/cac:ProcurementProject/cbc:Description,procedure_procurementProject,BT-24,Description,
89,/*/cac:ProcurementProject/cbc:ProcurementTypeCode,procedure_procurementProject,BT-23,Main Nature,
90,/*/cac:ProcurementProject/cbc:ProcurementAdditionalType/cbc:ProcurementTypeCode,procedure_procurementProject,BT-531,Additional Nature (different from Main),
91,/*/cac:ProcurementProject/cbc:Note,procedure_procurementProject,BT-300,Additional Information,
92,/*/cac:ProcurementProject/cac:RequestedTenderTotal/cbc:EstimatedOverallContractAmount,procedure_procurementProject,BT-27,Estimated Value,
93,/*/cac:ProcurementProject/cac:RequestedTenderTotal/cbc:EstimatedOverallFrameworkContractsAmount,procedure_procurementProject,BT-118,Notice Framework Value,
94,/*/cac:ProcurementProject/cac:RequestedTenderTotal/cbc:TotalAmount,procedure_procurementProject,BT-161,Notice Value,
95,/*/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode/@listName,procedure_procurementProject,BT-26,Classification Type (e.g. CPV),For main commodity classification
96,/*/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode/@listName,procedure_procurementProject,BT-26,Classification Type (e.g. CPV),For additional commodity classification
97,/*/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode,procedure_procurementProject,BT-262,Main Classification Code,
98,/*/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode,procedure_procurementProject,BT-263,Additional Classification Code,
99,/*/cac:ProcurementProject/cac:RealizedLocation/cbc:Description,procedure_procurementProject,BT-728,Place of Performance Additional Information,
100,/*/cac:ProcurementProject/cac:RealizedLocation/cbc:CityName,procedure_procurementProject,BT-5131,Place Performance City,
101,/*/cac:ProcurementProject/cac:RealizedLocation/cbc:PostalZone,procedure_procurementProject,BT-5121,Place Performance Post Code,
102,/*/cac:ProcurementProject/cac:RealizedLocation/cbc:CountrySubentityCode,procedure_procurementProject,BT-5071,Place Performance Country Subdivision,
103,/*/cac:ProcurementProject/cac:RealizedLocation/cbc:Region,procedure_procurementProject,BT-727,Place Performance Services Other,
104,/*/cac:ProcurementProject/cac:RealizedLocation/cbc:StreetName,procedure_procurementProject,BT-5101,Place Performance Street,
105,/*/cac:ProcurementProject/cac:RealizedLocation/cbc:AdditionalStreetName,procedure_procurementProject,BT-5101,Place Performance Street,
106,/*/cac:ProcurementProject/cac:RealizedLocation/cac:AddressLine/cbc:Line,procedure_procurementProject,BT-5101,Place Performance Street,
107,/*/cac:ProcurementProject/cac:RealizedLocation/cac:Country/cbc:IdentificationCode,procedure_procurementProject,BT-5141,Place Performance Country Code,
108,/*/cac:ProcurementProjectLot/cbc:ID,lot,BT-137,Purpose Lot Identifier,
109,/*/cac:ProcurementProjectLot/cac:TenderingTerms/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:SelectionCriteria/cbc:CriterionTypeCode[@listName='selection-criterion'],ProcurementProjectLot_tenderingTerms,BT-747,Selection Criteria Type,
110,/*/cac:ProcurementProjectLot/cac:TenderingTerms/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:SelectionCriteria/cbc:Name,ProcurementProjectLot_tenderingTerms,BT-749,Selection Criteria Name,
111,/*/cac:ProcurementProjectLot/cac:TenderingTerms/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:SelectionCriteria/cbc:Description,ProcurementProjectLot_tenderingTerms,BT-750,Selection Criteria Description,
112,/*/cac:ProcurementProjectLot/cac:TenderingTerms/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:SelectionCriteria/cbc:CalculationExpressionCode[@listName='usage'],ProcurementProjectLot_tenderingTerms,BT-748,Selection Criteria Used,
113,/*/cac:ProcurementProjectLot/cac:TenderingTerms/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:SelectionCriteria/efbc:SecondStageIndicator,ProcurementProjectLot_tenderingTerms,BT-40,Selection Criteria Second Stage Invite,
114,/*/cac:ProcurementProjectLot/cac:TenderingTerms/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:SelectionCriteria/efbc:StatisticsCode[@listName='number-weight'],ProcurementProjectLot_tenderingTerms,BT-7531,Selection Criteria Second Stage Invite Number Weight,
115,/*/cac:ProcurementProjectLot/cac:TenderingTerms/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:SelectionCriteria/efbc:StatisticsCode[@listName='number-threshold'],ProcurementProjectLot_tenderingTerms,BT-7532,Selection Criteria Second Stage Invite Number Threshold,
116,/*/cac:ProcurementProjectLot/cac:TenderingTerms/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:SelectionCriteria/efac:CriterionStatistics/efbc:StatisticalNumeric,ProcurementProjectLot_tenderingTerms,BT-752,Selection Criteria Second Stage Invite Number,
117,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cbc:VariantConstraintCode,ProcurementProjectLot_tenderingTerms,BT-63,Variants,
118,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cbc:FundingProgramCode[@listName='eu-funded'],ProcurementProjectLot_tenderingTerms,BT-60,EU Funds,
119,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cbc:RequiredCurriculaCode,ProcurementProjectLot_tenderingTerms,BT-79,Performing Staff Qualification,
120,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cbc:RecurringProcurementIndicator,ProcurementProjectLot_tenderingTerms,BT-94,Recurrence,
121,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cbc:RecurringProcurementDescription,ProcurementProjectLot_tenderingTerms,BT-95,Recurrence Description,
122,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cbc:LatestSecurityClearanceDate,ProcurementProjectLot_tenderingTerms,BT-78,Security Clearance Deadline,
123,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cbc:MultipleTendersCode,ProcurementProjectLot_tenderingTerms,BT-769,Multiple Tenders,
124,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:RequiredFinancialGuarantee/cbc:GuaranteeTypeCode[./text()='provisional'],ProcurementProjectLot_tenderingTerms,BT-751,Guarantee Required,
125,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:RequiredFinancialGuarantee/cbc:Description,ProcurementProjectLot_tenderingTerms,BT-75,Guarantee Required Description,
126,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:Attachment/cac:ExternalReference/cbc:URI,ProcurementProjectLot_tenderingTerms_info-tax,,URL to Fiscal Legislation,
127,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cbc:WebsiteURI,ProcurementProjectLot_tenderingTerms_info-tax,BT-505,Internet Address,
128,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cbc:EndpointID,ProcurementProjectLot_tenderingTerms_info-tax,BT-509,eDelivery Gateway,.
129,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cbc:IndustryClassificationCode[@listName='legal-person'],ProcurementProjectLot_tenderingTerms_info-tax,BT-633,Organisation Natural Person,
130,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PartyName/cbc:Name,ProcurementProjectLot_tenderingTerms_info-tax,BT-500,Name,
131,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PartyLegalEntity/cbc:CompanyID,ProcurementProjectLot_tenderingTerms_info-tax,BT-501,Identifier,
132,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:Department,ProcurementProjectLot_tenderingTerms_info-tax,BT-16,Part Name,
133,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:StreetName,ProcurementProjectLot_tenderingTerms_info-tax,BT-510,Street,
134,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:CityName,ProcurementProjectLot_tenderingTerms_info-tax,BT-513,City,
135,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:PostalZone,ProcurementProjectLot_tenderingTerms_info-tax,BT-512,Post Code,
136,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:CountrySubentityCode,ProcurementProjectLot_tenderingTerms_info-tax,BT-507,Country Subdivision,NUTS3 code
137,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:IdentificationCode,ProcurementProjectLot_tenderingTerms_info-tax,BT-514,Country Code,
138,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:Name,ProcurementProjectLot_tenderingTerms_info-tax,BT-502,Contact Point,
139,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:ElectronicMail,ProcurementProjectLot_tenderingTerms_info-tax,BT-506,Contact Email Address,
140,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:Telephone,ProcurementProjectLot_tenderingTerms_info-tax,BT-503,Contact Telephone Number,
141,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:Telefax,ProcurementProjectLot_tenderingTerms_info-tax,BT-739,Contact Fax,
142,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:Attachment/cac:ExternalReference/cbc:URI,ProcurementProjectLot_tenderingTerms_info-envir,,URL to Environmental Legislation,
143,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cbc:WebsiteURI,ProcurementProjectLot_tenderingTerms_info-envir,BT-505,Internet Address,
144,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cbc:EndpointID,ProcurementProjectLot_tenderingTerms_info-envir,BT-509,eDelivery Gateway,.
145,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cbc:IndustryClassificationCode[@listName='legal-person'],ProcurementProjectLot_tenderingTerms_info-envir,BT-633,Organisation Natural Person,
146,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PartyName/cbc:Name,ProcurementProjectLot_tenderingTerms_info-envir,BT-500,Name,
147,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PartyLegalEntity/cbc:CompanyID,ProcurementProjectLot_tenderingTerms_info-envir,BT-501,Identifier,
148,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:Department,ProcurementProjectLot_tenderingTerms_info-envir,BT-16,Part Name,
149,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:StreetName,ProcurementProjectLot_tenderingTerms_info-envir,BT-510,Street,
150,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:CityName,ProcurementProjectLot_tenderingTerms_info-envir,BT-513,City,
151,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:PostalZone,ProcurementProjectLot_tenderingTerms_info-envir,BT-512,Post Code,
152,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:CountrySubentityCode,ProcurementProjectLot_tenderingTerms_info-envir,BT-507,Country Subdivision,NUTS3 code
153,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:IdentificationCode,ProcurementProjectLot_tenderingTerms_info-envir,BT-514,Country Code,
154,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:Name,ProcurementProjectLot_tenderingTerms_info-envir,BT-502,Contact Point,
155,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:ElectronicMail,ProcurementProjectLot_tenderingTerms_info-envir,BT-506,Contact Email Address,
156,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:Telephone,ProcurementProjectLot_tenderingTerms_info-envir,BT-503,Contact Telephone Number,
157,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:Telefax,ProcurementProjectLot_tenderingTerms_info-envir,BT-739,Contact Fax,
158,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:Attachment/cac:ExternalReference/cbc:URI,ProcurementProjectLot_tenderingTerms_info-emp,,URL to Employment Legislation,
159,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cbc:WebsiteURI,ProcurementProjectLot_tenderingTerms_info-emp,BT-505,Internet Address,
160,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cbc:EndpointID,ProcurementProjectLot_tenderingTerms_info-emp,BT-509,eDelivery Gateway,.
161,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cbc:IndustryClassificationCode[@listName='legal-person'],ProcurementProjectLot_tenderingTerms_info-emp,BT-633,Organisation Natural Person,
162,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PartyName/cbc:Name,ProcurementProjectLot_tenderingTerms_info-emp,BT-500,Name,
163,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PartyLegalEntity/cbc:CompanyID,ProcurementProjectLot_tenderingTerms_info-emp,BT-501,Identifier,
164,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:Department,ProcurementProjectLot_tenderingTerms_info-emp,BT-16,Part Name,
165,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:StreetName,ProcurementProjectLot_tenderingTerms_info-emp,BT-510,Street,
166,/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:CityName,ProcurementProjectLot_tenderingTerms_info-emp,BT-513,City,
