,"ID","Name","Datatype","Repeatable","Description","Legal Status","Level","Element","eformsNotice","sfNotice","Form type","eforms_xpath","name"
47,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,26,15,"Direct award prenotification","/*/cbc:ContractFolderID","Procedure Identifier"
48,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,27,15,"Direct award prenotification","/*/cbc:ContractFolderID","Procedure Identifier"
49,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,28,15,"Direct award prenotification","/*/cbc:ContractFolderID","Procedure Identifier"
50,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,22,19,"Competition","/*/cbc:ContractFolderID","Procedure Identifier"
51,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,12,21,"Competition","/*/cbc:ContractFolderID","Procedure Identifier"
52,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,3,22,"Planning","/*/cbc:ContractFolderID","Procedure Identifier"
53,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,32,25,"Result","/*/cbc:ContractFolderID","Procedure Identifier"
54,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,11,4,"Competition","/*/cbc:ContractFolderID","Procedure Identifier"
55,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,18,17,"Competition","/*/cbc:ContractFolderID","Procedure Identifier"
56,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,10,1,"Competition","/*/cbc:ContractFolderID","Procedure Identifier"
57,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,38,20,"Contract modification","/*/cbc:ContractFolderID","Procedure Identifier"
58,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,39,20,"Contract modification","/*/cbc:ContractFolderID","Procedure Identifier"
59,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,40,20,"Contract modification","/*/cbc:ContractFolderID","Procedure Identifier"
60,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,23,12,"Competition","/*/cbc:ContractFolderID","Procedure Identifier"
61,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,24,12,"Competition","/*/cbc:ContractFolderID","Procedure Identifier"
62,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,36,13,"Result","/*/cbc:ContractFolderID","Procedure Identifier"
63,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,37,13,"Result","/*/cbc:ContractFolderID","Procedure Identifier"
64,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,35,23,"Result","/*/cbc:ContractFolderID","Procedure Identifier"
65,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,15,7,"Competition","/*/cbc:ContractFolderID","Procedure Identifier"
66,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,29,3,"Result","/*/cbc:ContractFolderID","Procedure Identifier"
67,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,34,21,"Result","/*/cbc:ContractFolderID","Procedure Identifier"
68,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,20,21,"Competition","/*/cbc:ContractFolderID","Procedure Identifier"
69,"BT-04","    Procedure Identifier","Identifier","No","The European Public Procurement Procedure Identifier, a unique identifier of a procurement procedure. Including this identifier in all published versions of this notice (e.g. published on TED, national publication portals, regional publication portals) allows unique identification of procurement procedures around the EU.","M","new term overall",,17,5,"Competition","/*/cbc:ContractFolderID","Procedure Identifier"
70,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,30,6,"Result","/*/cbc:ID","Notice Identifier"
71,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,1,8,"Planning","/*/cbc:ID","Notice Identifier"
72,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,2,8,"Planning","/*/cbc:ID","Notice Identifier"
73,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,3,8,"Planning","/*/cbc:ID","Notice Identifier"
74,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,7,1,"Planning","/*/cbc:ID","Notice Identifier"
75,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,19,24,"Competition","/*/cbc:ID","Notice Identifier"
76,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,4,21,"Planning","/*/cbc:ID","Notice Identifier"
77,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,6,16,"Planning","/*/cbc:ID","Notice Identifier"
78,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,21,22,"Competition","/*/cbc:ID","Notice Identifier"
79,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,16,2,"Competition","/*/cbc:ID","Notice Identifier"
80,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,33,21,"Result","/*/cbc:ID","Notice Identifier"
81,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,31,18,"Result","/*/cbc:ID","Notice Identifier"
82,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,25,15,"Direct award prenotification","/*/cbc:ID","Notice Identifier"
83,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,26,15,"Direct award prenotification","/*/cbc:ID","Notice Identifier"
84,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,27,15,"Direct award prenotification","/*/cbc:ID","Notice Identifier"
85,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,28,15,"Direct award prenotification","/*/cbc:ID","Notice Identifier"
86,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,22,19,"Competition","/*/cbc:ID","Notice Identifier"
87,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,12,21,"Competition","/*/cbc:ID","Notice Identifier"
88,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,3,22,"Planning","/*/cbc:ID","Notice Identifier"
89,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,32,25,"Result","/*/cbc:ID","Notice Identifier"
90,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,8,4,"Planning","/*/cbc:ID","Notice Identifier"
91,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,11,4,"Competition","/*/cbc:ID","Notice Identifier"
92,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,4,1,"Planning","/*/cbc:ID","Notice Identifier"
93,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,18,17,"Competition","/*/cbc:ID","Notice Identifier"
94,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,10,1,"Competition","/*/cbc:ID","Notice Identifier"
95,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,5,22,"Planning","/*/cbc:ID","Notice Identifier"
96,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,38,20,"Contract modification","/*/cbc:ID","Notice Identifier"
97,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,39,20,"Contract modification","/*/cbc:ID","Notice Identifier"
98,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,40,20,"Contract modification","/*/cbc:ID","Notice Identifier"
99,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,23,12,"Competition","/*/cbc:ID","Notice Identifier"
100,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,24,12,"Competition","/*/cbc:ID","Notice Identifier"
101,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,5,4,"Planning","/*/cbc:ID","Notice Identifier"
102,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,36,13,"Result","/*/cbc:ID","Notice Identifier"
103,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,37,13,"Result","/*/cbc:ID","Notice Identifier"
104,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,35,23,"Result","/*/cbc:ID","Notice Identifier"
105,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,15,7,"Competition","/*/cbc:ID","Notice Identifier"
106,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,29,3,"Result","/*/cbc:ID","Notice Identifier"
107,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,34,21,"Result","/*/cbc:ID","Notice Identifier"
108,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,20,21,"Competition","/*/cbc:ID","Notice Identifier"
109,"BT-701","    Notice Identifier","Identifier","No","The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.","M","new term overall",,17,5,"Competition","/*/cbc:ID","Notice Identifier"
110,"BT-757","    Notice Version","Identifier","No","The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.","M","new term overall",,30,6,"Result","/*/cbc:VersionID","Notice Version"
111,"BT-757","    Notice Version","Identifier","No","The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.","M","new term overall",,1,8,"Planning","/*/cbc:VersionID","Notice Version"
112,"BT-757","    Notice Version","Identifier","No","The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.","M","new term overall",,2,8,"Planning","/*/cbc:VersionID","Notice Version"
113,"BT-757","    Notice Version","Identifier","No","The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.","M","new term overall",,3,8,"Planning","/*/cbc:VersionID","Notice Version"
114,"BT-757","    Notice Version","Identifier","No","The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.","M","new term overall",,7,1,"Planning","/*/cbc:VersionID","Notice Version"
115,"BT-757","    Notice Version","Identifier","No","The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.","M","new term overall",,19,24,"Competition","/*/cbc:VersionID","Notice Version"
116,"BT-757","    Notice Version","Identifier","No","The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.","M","new term overall",,4,21,"Planning","/*/cbc:VersionID","Notice Version"
117,"BT-757","    Notice Version","Identifier","No","The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.","M","new term overall",,6,16,"Planning","/*/cbc:VersionID","Notice Version"
118,"BT-757","    Notice Version","Identifier","No","The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.","M","new term overall",,21,22,"Competition","/*/cbc:VersionID","Notice Version"
119,"BT-757","    Notice Version","Identifier","No","The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.","M","new term overall",,16,2,"Competition","/*/cbc:VersionID","Notice Version"
120,"BT-757","    Notice Version","Identifier","No","The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.","M","new term overall",,33,21,"Result","/*/cbc:VersionID","Notice Version"
121,"BT-757","    Notice Version","Identifier","No","The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.","M","new term overall",,31,18,"Result","/*/cbc:VersionID","Notice Version"
122,"BT-757","    Notice Version","Identifier","No","The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.","M","new term overall",,25,15,"Direct award prenotification","/*/cbc:VersionID","Notice Version"
123,"BT-757","    Notice Version","Identifier","No","The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.","M","new term overall",,26,15,"Direct award prenotification","/*/cbc:VersionID","Notice Version"
124,"BT-757","    Notice Version","Identifier","No","The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.","M","new term overall",,27,15,"Direct award prenotification","/*/cbc:VersionID","Notice Version"
125,"BT-757","    Notice Version","Identifier","No","The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.","M","new term overall",,28,15,"Direct award prenotification","/*/cbc:VersionID","Notice Version"
126,"BT-757","    Notice Version","Identifier","No","The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.","M","new term overall",,22,19,"Competition","/*/cbc:VersionID","Notice Version"
127,"BT-757","    Notice Version","Identifier","No","The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.","M","new term overall",,12,21,"Competition","/*/cbc:VersionID","Notice Version"
128,"BT-757","    Notice Version","Identifier","No","The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.","M","new term overall",,3,22,"Planning","/*/cbc:VersionID","Notice Version"
129,"BT-757","    Notice Version","Identifier","No","The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.","M","new term overall",,32,25,"Result","/*/cbc:VersionID","Notice Version"
130,"BT-757","    Notice Version","Identifier","No","The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.","M","new term overall",,8,4,"Planning","/*/cbc:VersionID","Notice Version"
131,"BT-757","    Notice Version","Identifier","No","The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.","M","new term overall",,11,4,"Competition","/*/cbc:VersionID","Notice Version"
