id,id,Name,eformsNotice,sfNotice,legal_status,eforms_xpath,BT,bt_description,bt_datatype,sfLevel,guidance,status,comments
1282,1282,Main Classification Code,19,24,M,"['/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode', '/*/cac:ProcurementProject/cac:MainCommodityClassification/cbc:ItemClassificationCode']",BT-262,The code from the classification that best characterizes the purchase.,Code,II.1.2,Map to the item's `.classification.id`.,done (spread from notice 1),
1283,1283,Additional Classification Codes,19,24,O,"['/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode', '/*/cac:ProcurementProject/cac:AdditionalCommodityClassification/cbc:ItemClassificationCode']",BT-263,An additional code from the classification that also characterize the purchase.,Code,new term overall,"For each `cac:AdditionalCommodityClassification/cbc:ItemClassificationCode`, add a Classification object to the item's `.additionalClassifications` array. Map to its `.id`, capitalize `@listName` and map to the classification's `.scheme`.",done (spread from notice 1),
1284,1284,Duration Lot Identifier,19,24,M,[''],BT-1373,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures.  The information in the duration section refers to this lot (or part) or these lots (or parts)",Identifier,II.2.1.1,Refer to the [guidance for lot identifiers](common-operations lot identifier).,done (spread from notice 10),
1285,1285,Duration Period,19,24,M,['/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:PlannedPeriod/cbc:DurationMeasure'],BT-36,"The (estimated) period from the start to the end of the contract, framework agreement, dynamic purchasing system or qualification system. This must include any options and renewals.",Duration,II.2.7.1,"If `@unitCode` is set to 'DAY', map to the lot's `.contractPeriod.durationInDays`.\n\nIf `@unitCode` is set to 'MONTH', multiply by 30. If `@unitCode` is set to 'YEAR', multiply by 365. In either case, map the result to the lot's `.contractPeriod.durationInDays`.",done (spread from notice 1),https://github.com/open-contracting/european-union-support/issues/58
1286,1286,Duration Start Date,19,24,M,['/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:PlannedPeriod/cbc:StartDate'],BT-536,"The (estimated) date when the contract, framework agreement, dynamic purchasing system or qualification system will start.",Date,II.2.7.2,"[Format the date](common-operations), and map to the lot's `.contractPeriod.startDate`.",done (spread from notice 1),https://github.com/open-contracting/european-union-support/issues/58
1287,1287,Duration End Date,19,24,M,['/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:PlannedPeriod/cbc:EndDate'],BT-537,"The (estimated) date when the contract, framework agreement, dynamic purchasing system or qualification system will finish.",Date,II.2.7.3,"[Format the date](common-operations), and map to the lot's `.contractPeriod.endDate`.",done (spread from notice 1),https://github.com/open-contracting/european-union-support/issues/58
1288,1288,Duration Other,19,24,M,['/PriorInformationNotice/cac:ProcurementProjectLot/cac:ProcurementProject/cac:PlannedPeriod/cbc:DescriptionCode'],BT-538,"The duration is unknown, unlimited, etc.",Code,new term,Map to the lot's `.contractPeriod.other`,done (spread from notice 1),https://github.com/open-contracting/european-union-support/issues/58;https://github.com/open-contracting/european-union-support/issues/70
1289,1289,Renewal Description,19,24,O,['/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ContractExtension/cac:Renewal/cac:Period/cbc:Description'],BT-57,Any other information about the renewal(s).,Text,new term,Map to the lot's `.renewal.description`,done (spread from notice 15),
1290,1290,Renewal Maximum,19,24,O,['/*/cac:ProcurementProjectLot/cac:ProcurementProject/cac:ContractExtension/cbc:MaximumNumberNumeric'],BT-58,"The maximum number of times the contract can be renewed. By renewing, the buyer reserves the right (i.e. not an obligation) to renew the contract (i.e. extend its duration) without a new procurement procedure. For example, a contract may be valid for one year and the buyer may keep a possibility to renew it (e.g. once, twice) for another three months, if he is content with the services he received.",Number,new term,Map to the lot's `.renewal.maximumRenewals`,done (spread from notice 15),
1291,1291,Cross Border Law,19,24,O,"['/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:ID', '/*/cac:TenderingTerms/cac:ProcurementLegislationDocumentReference/cbc:DocumentDescription']",BT-09,The applicable law when buyers from different countries procure together within one procurement procedure.,Text,I.2.1.1,Map to `tender.crossBorderLaw`,done (spread from notice 10),
1292,1292,Lots Max Allowed,19,24,O,"['/*/cac:TenderingTerms/cac:LotDistribution/cbc:MaximumLotsSubmittedNumeric', '/*/cac:TenderingTerms/cac:LotDistribution/cbc:MaximumLotsSubmittedNumeric']",BT-31,The maximum number of lots for which one tenderer can submit tenders.,Number,II.1.6.2.2,Map to `tender.lotDetails.maximumLotsBidPerSupplier`,done (spread from notice 16),
1293,1293,Lots Max Awarded,19,24,O,"['/*/cac:TenderingTerms/cac:LotDistribution/cbc:MaximumLotsAwardedNumeric', '/*/cac:TenderingTerms/cac:LotDistribution/cbc:MaximumLotsAwardedNumeric']",BT-33,The maximum number of lots for which contract(s) can be awarded to one tenderer.,Number,II.1.6.3,Map to `tender.lotDetails.maximumLotsAwardedPerSupplier`,done (spread from notice 16),
1294,1294,Lots All Required,19,24,O,['/*/cac:TenderingProcess/cbc:PartPresentationCode'],BT-763,The tenderer must submit tenders for all lots.,Indicator,II.1.6.2.1,"Set `tender.lotDetails.maximumLotsBidPerSupplier` to the number (not the string) 1e9999 (which parses to infinity i.e. ""all"")",done (spread from notice 10),
1295,1295,Procedure Features,19,24,O,['/*/cac:TenderingProcess/cbc:Description'],BT-88,"The main features of the procedure (e.g. description of the individual stage(s)) and information about where the full rules for the procedure can be found. This information must be given when the procedure is not one of those mentioned in the procurement Directives. This can be the case for example for concessions, for social and other specific services, and in case of voluntary publication of procurement procedures below the EU procurement thresholds.",Text,new term,Map to `tender.procurementMethodDetails`,done (spread from notice 10),
1296,1296,Group Lot Identifier,19,24,O,"[""/*/cac:TenderingTerms/cac:LotDistribution/cac:LotsGroup/cac:ProcurementProjectLotReference/cbc:ID[@schemeName='Lot']"", ""/*/cac:TenderingTerms/cac:LotDistribution/cac:LotsGroup/cac:ProcurementProjectLotReference/cbc:ID[@schemeName='Lot']""]",BT-1375,An identifier of several lots within this procedure. These lots form a group of lots for which one tender can be submitted and evaluated.,Identifier,new term overall,Add the lot identifier to the Lot group's `.relatedLots` (see the [lot extension](https://extensions.open-contracting.org/en/extensions/lots/master/)),done (spread from notice 10),https://github.com/open-contracting/european-union-support/issues/71
1297,1297,Group Identifier,19,24,O,"['/*/cac:TenderingTerms/cac:LotDistribution/cac:LotsGroup/cbc:LotsGroupID', '/*/cac:TenderingTerms/cac:LotDistribution/cac:LotsGroup/cbc:LotsGroupID']",BT-330,The identifier of a group of lots in the procedure.,Identifier,new term overall,Add a Group lot object in the `tender.lotGroups` array. Map to its `.id`. See the [lot extension](https://extensions.open-contracting.org/en/extensions/lots/master/).,done (spread from notice 10),https://github.com/open-contracting/european-union-support/issues/71
1298,1298,Funds Lot Identifier,19,24,M,[''],BT-1374,An identifier of one or more lots. The information in the EU funds section refers to this lot or these lots.,Identifier,II.2.1.1,Refer to the [guidance for lot identifiers](common-operations lot identifier).,done (spread from notice 10),
1299,1299,EU Funds,19,24,M,"[""/*/cac:ProcurementProjectLot/cac:TenderingTerms/cbc:FundingProgramCode[@listName='eu-funded']""]",BT-60,The procurement is at least partially financed by European Union funds such as the European Structural and Investment Funds or grants awarded by the European Union.,Indicator,II.2.13.1,* Get the `Organization` object whose `.name` is 'European Union'. If none exists yet:\n  * [Add a party](../../operations/#add-a-party)\n  * Set its `.name` to 'European Union'\n* Add 'funder' to its `.roles`.,done (spread from notice 10),
1300,1300,Exclusion Grounds,19,24,O,"[""/*/cac:TenderingTerms/cac:TendererQualificationRequest/cac:SpecificTendererRequirement/cbc:TendererRequirementTypeCode[@listName='exclusion-ground']"", '/*/cac:TenderingTerms/cac:TendererQualificationRequest/cac:SpecificTendererRequirement/cbc:Description']",BT-67,"The brief description of criteria regarding the personal situation of tenderers that may lead to their exclusion. This must include a list of all such criteria and indicate required information (e.g. self-declaration, documentation). This can also include specific national exclusion grounds.",Text,new term,Map to `tender.exclusionGrounds`,done (spread from notice 16),
1301,1301,Selection Lot Identifier,19,24,M,[''],BT-1378,An identifier of one or more lots. The information in the selection criteria section refers to this lot or these lots.,Identifier,new term overall,Refer to the [guidance for lot identifiers](common-operations lot identifier).,done (spread from notice 10),
1302,1302,Selection Criteria Type,19,24,M,"[""/*/cac:ProcurementProjectLot/cac:TenderingTerms/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:SelectionCriteria/cbc:CriterionTypeCode[@listName='selection-criterion']""]",BT-747,"The criteria (or criterion) concern(s), for example, economic and financial standing or technical and professional ability. ",Code,III.2.1.1,"If `cbc:CalculationExpressionCode[@listName='usage']` is set to 'used', add a `SelectionCriterion` object to the lot's `.selectionCriteria.criteria` array and set its `.type` according to the guidance in [common operations](#selection criterion type). Otherwise, discard.",done (spread from notice 10),
1303,1303,Selection Criteria Used,19,24,M,"[""/*/cac:ProcurementProjectLot/cac:TenderingTerms/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:SelectionCriteria/cbc:CalculationExpressionCode[@listName='usage']""]",BT-748,"The criteria (or criterion) of the given type are (is) used, unused, or (in case of prior information notice used as a call for competition or to reduce time limits) the use is not yet known.",Code,new term overall,Discard.,done (spread from notice 10),
1304,1304,Selection Criteria Name,19,24,O,['/*/cac:ProcurementProjectLot/cac:TenderingTerms/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:SelectionCriteria/cbc:Name'],BT-749,The name of the selection criteria (or criterion).,Text,III.1.2.1,Map to the Selection criterion's `.description`.,done (spread from notice 10),Concatenate it with BT-750 Selection Criteria Description.
1305,1305,Selection Criteria Description,19,24,M,['/*/cac:ProcurementProjectLot/cac:TenderingTerms/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:SelectionCriteria/cbc:Description'],BT-750,"The brief description of the selection criteria (or criterion), including minimum requirements, required information (e.g. self-declaration, documentation) and how the criteria or criterion will be used to select candidates to be invited for the second stage of the procedure (if a maximum number of candidates was set).",Text,III.1.2.2,Map to the Selection criterion's `.description`.,done (spread from notice 10),Concatenate it with BT-750 Selection Criteria Name.
1306,1306,Organisation Role,19,24,M,[''],BT-08,"The role of the organisation in the procurement procedure (e.g. buyer, winner). A notice must contain all organisations in the procedure that have the role of a buyer; a winner; a review body; a buyer acquiring supplies and/or services intended for other buyers; a buyer awarding public contracts or concluding framework agreements for works, supplies or services intended for other buyers.",Code,new term overall,"[Create a new party](common-operations), map the code according to the [organisation role mapping table], and add it to the party's `.roles` array.",done (spread from notice 1),https://github.com/open-contracting/european-union-support/issues/59
1307,1307,Organisation Notice Section Identifier,19,24,M,[''],BT-13720,An identifier of one or more sections within this notice. The information in the organisation section refers to this section or these sections.,Identifier,new term overall,No guidance. Relationships are either implied by the XML structure or explicit via references from a section to the organization.,done (spread from notice 1),
1308,1308,Organisation Part Name,19,24,O,"['/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PostalAddress/cbc:Department', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:Department', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PostalAddress/cbc:Department', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cac:PostalAddress/cbc:Department', '/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:Department', '/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PostalAddress/cbc:Department', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cac:PostalAddress/cbc:Department', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PostalAddress/cbc:Department', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:PostalAddress/cbc:Department', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:Department', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cac:PostalAddress/cbc:Department', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PostalAddress/cbc:Department', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PostalAddress/cbc:Department', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cac:PostalAddress/cbc:Department', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PostalAddress/cbc:Department', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PostalAddress/cbc:Department', '/*/cac:ContractingParty/cac:Party/cac:PostalAddress/cbc:Department', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PostalAddress/cbc:Department', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PostalAddress/cbc:Department']",BT-16,The name of a part of an organisation (e.g. the relevant department of a large buyer).,Text,new term overall,"Append to the party's `.name`, separated from the original text with ' - ' (space, dash, space). See also [Using the Organization building block with an organizational hierarchy](https://standard.open-contracting.org/latest/en/guidance/map/organizational_units/?highlight=organization#using-the-organization-building-block-with-an-organizational-hierarchy) ",done (spread from notice 1),https://github.com/open-contracting/european-union-support/issues/55
1309,1309,Organisation Name,19,24,M,"['/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cac:PartyName/cbc:Name', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cac:PartyName/cbc:Name', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PartyName/cbc:Name', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PartyName/cbc:Name', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PartyName/cbc:Name', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cac:PartyName/cbc:Name', '/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PartyName/cbc:Name', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PartyName/cbc:Name', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PartyName/cbc:Name', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PartyName/cbc:Name', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cac:PartyName/cbc:Name', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PartyName/cbc:Name', '/*/cac:ContractingParty/cac:Party/cac:PartyName/cbc:Name', '/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PartyName/cbc:Name', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PartyName/cbc:Name', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PartyName/cbc:Name', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PartyName/cbc:Name', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:PartyName/cbc:Name', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PartyName/cbc:Name']",BT-500,The official name of the organisation.,Text,I.1.1,Map to the party's `.name` and `.identifier.legalName`,done (spread from notice 15),
1310,1310,Organisation Identifier,19,24,M,"['/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:PartyLegalEntity/cbc:CompanyID', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cac:PartyLegalEntity/cbc:CompanyID', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:PartyLegalEntity/cbc:CompanyID', '/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:PartyLegalEntity/cbc:CompanyID', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:PartyLegalEntity/cbc:CompanyID', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:PartyLegalEntity/cbc:CompanyID', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cac:PartyLegalEntity/cbc:CompanyID', '/*/cac:ContractingParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:PartyLegalEntity/cbc:CompanyID', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:PartyLegalEntity/cbc:CompanyID', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:PartyLegalEntity/cbc:CompanyID', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:PartyLegalEntity/cbc:CompanyID', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cac:PartyLegalEntity/cbc:CompanyID', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:PartyLegalEntity/cbc:CompanyID', '/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:PartyLegalEntity/cbc:CompanyID', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cac:PartyLegalEntity/cbc:CompanyID', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:PartyLegalEntity/cbc:CompanyID']",BT-501,An identifier of the organisation. All of the organisation's identifiers shall be given.,Identifier,I.1.2,"Map to the party's `.identifier.id`, and [set `.identifier.scheme`](https://standard.open-contracting.org/1.1/en/schema/identifiers/#organization-ids)",done (spread from notice 15),
1311,1311,Organisation Contact Point,19,24,O,"['/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cac:Contact/cbc:Name', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:Contact/cbc:Name', '/*/cac:ContractingParty/cac:Party/cac:Contact/cbc:Name', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:Contact/cbc:Name', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:Contact/cbc:Name', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cac:Contact/cbc:Name', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:Contact/cbc:Name', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:Contact/cbc:Name', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:Name', '/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:Contact/cbc:Name', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:Name', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:Contact/cbc:Name', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:Contact/cbc:Name', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:Name', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:Contact/cbc:Name', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cac:Contact/cbc:Name', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Contact/cbc:Name', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cac:Contact/cbc:Name', '/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:Contact/cbc:Name']",BT-502,"The name of the department or other contact point for communicating with the organisation. To avoid unnecessary processing of personal data, the contact point may allow the identification of a physical person only when necessary (in the sense of Regulation (EU) 2016/679 and Regulation (EU) 2018/1725).",Text,I.1.8,Map to the party's `.contactPoint.name`,done (spread from notice 15),
1312,1312,Organisation Contact Telephone Number,19,24,M,"['/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:Contact/cbc:Telephone', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderEvaluationParty/cac:Contact/cbc:Telephone', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AdditionalInformationParty/cac:Contact/cbc:Telephone', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:FiscalLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:Telephone', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealReceiverParty/cac:Contact/cbc:Telephone', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:MediationParty/cac:Contact/cbc:Telephone', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:TenderRecipientParty/cac:Contact/cbc:Telephone', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EmploymentLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:Telephone', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:AppealTerms/cac:AppealInformationParty/cac:Contact/cbc:Telephone', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:PaymentMandate/cac:PayerParty/cac:Contact/cbc:Telephone', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Party/cac:AgentParty/cac:Contact/cbc:Telephone', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:DocumentProviderParty/cac:Contact/cbc:Telephone', '/ContractAwardNotice/cac:TenderResult/cac:WinningParty/cac:Contact/cbc:Telephone', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractualDelivery/cac:DeliveryTerms/cac:AllowanceCharge/cac:PaymentMeans/cac:TradeFinancing/cac:FinancingParty/cac:Contact/cbc:Telephone', '/ContractAwardNotice/cac:TenderResult/cac:Contract/cac:ContractDocumentReference/cac:Resultofverification/cac:SignatoryParty/cac:Contact/cbc:Telephone', '/*/cac:ContractingParty/cac:Party/cac:ServiceProviderParty/cac:Party/cac:Contact/cbc:Telephone', '/*/cac:ContractingParty/cac:Party/cac:Contact/cbc:Telephone', '/*/cac:ProcurementProjectLot/cac:TenderingTerms/cac:EnvironmentalLegislationDocumentReference/cac:IssuerParty/cac:Contact/cbc:Telephone', '/ContractAwardNotice/cac:ProcurementProjectLot/cac:TenderingProcess/ext:UBLExtensions/ext:UBLExtension/ext:ExtensionContent/efext:EformsExtension/efac:TenderingParty/cac:Contact/cbc:Telephone']",BT-503,"The telephone for contacting the organisation. To avoid unnecessary processing of personal data, the telephone may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",Text,I.1.9,Map to the party's `.contactPoint.telephone`,done (spread from notice 15),
