Indent level,ID,Name,Data type,Repeatable,Description,Legal Status,Level,Element,eformsNotice,sfNotice
++,BG-261,    Classification,-,Yes,"Information about the classification(s) describing the purchase. The common procurement vocabulary (CPV) classification type must be used. Additionally, other classifications (e.g. the World Health Organisation's anatomical therapeutic chemical (ATC) classification for pharmaceuticals; the medical devices nomenclature under the Regulation (EU) 2017/745) may, if made available by the Publications Office of the EU, be used.)",M,---,,4,1
+++,BT-26,        Classification Type,Code,No,The type of classification describing the purchase (e.g. the common procurement vocabulary).,M,new term overall,,4,1
+++,BT-262,        Main Classification Code,Code,No,The code from the classification that best characterizes the purchase.,CM,II.1.2,Main CPV code,4,1
+++,BT-263,        Additional Classification Codes,Code,Yes,An additional code from the classification that also characterize the purchase.,O,new term overall,,4,1
+,BG-708,Place of Performance,-,Yes,"Information about the main location of works in case of works; main place of delivery or performance in case of supplies and services. If the place of performance covers several NUTS 3 areas (e.g. a highway, a national network of job centres), then all relevant codes must be given. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",M,---,,4,1
++,BT-1372,    Place Performance Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the place of performance section refers to this lot (or part) or these lots (or parts).",CM,II.2.1.1,Lot no,4,1
++,BT-5101,    Place Performance Street,Text,No,"The name of the street, road, avenue, etc., of the place of performance and further identification (e.g. building number).",O,II.2.3.2,Main site or place of performance,4,1
++,BT-5131,    Place Performance City,Text,No,"The name of the locality (city, town or village) of the place of performance.",O,II.2.3.2,Main site or place of performance,4,1
++,BT-5121,    Place Performance Post Code,Text,No,The postcode of the place of performance.,O,II.2.3.2,Main site or place of performance,4,1
++,BT-5071,    Place Performance Country Subdivision,Code,No,The location according to the common classification of territorial units for statistics (NUTS). The NUTS3 classification code must be used.,CM,II.2.3.1,NUTS code,4,1
++,BT-5141,    Place Performance Country Code,Code,No,The country of the place of performance.,CM,II.2.3.2,Main site or place of performance,4,1
++,BT-727,    Place Performance Services Other,Code,No,"There are other restrictions on the place of performance (e.g. ""anywhere in the European Economic Area"", ""anywhere in the given country""). ",CM,new term overall, ,4,1
++,BT-728,    Place Performance Additional Information,Text,No,Additional information about the place of performance.,O,II.2.3.2,Main site or place of performance,4,1
+,BG-36,Duration,-,Yes,"Information about the duration of the contract, framework agreement, dynamic purchasing system or qualification system. This must include any options and renewals. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",O,---,,4,1
++,BT-1373,    Duration Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures.  The information in the duration section refers to this lot (or part) or these lots (or parts)",CM,new term,,4,1
++,BT-536,    Duration Start Date,Date,No,"The (estimated) date when the contract, framework agreement, dynamic purchasing system or qualification system will start.",O,new term,,4,1
++,BT-36,    Duration Period,Duration,No,"The (estimated) period from the start to the end of the contract, framework agreement, dynamic purchasing system or qualification system. This must include any options and renewals.",O,new term,,4,1
++,BT-537,    Duration End Date,Date,No,"The (estimated) date when the contract, framework agreement, dynamic purchasing system or qualification system will finish.",O,new term,,4,1
++,BT-538,    Duration Other,Code,No,"The duration is unknown, unlimited, etc.",O,new term,,4,1
+,BG-61,EU Funds,-,Yes,Information about European Union funds used to finance the procurement. This information may differ per lot.,,---,,4,1
+,BG-6,Procedure,-,No,Information about the procurement procedure.,,---,,4,1
++,BG-330,    Group Lot Award,-,Yes,"Tenderers may submit tenders not only for individual lots, but also for the groups of lots given here. The buyer may then compare the tenders submitted for groups of lots with those for individual lots and evaluate which option best fulfils the award criteria. Each group of lots must have clear award criteria.",,---,,4,1
++,BG-709,    Second Stage,-,Yes,Information about the second stage of a two-stage procedure. This information may differ per lot.,,---,,4,1
+,BG-704,Reward and Jury,-,Yes,Information about the rewards and the jury in a design contest. This information may differ per lot.,,---,,4,1
++,BG-44,    Prize,-,Yes,"Information about the value and rank of a prize for a winner in the design contest (e.g. ""10,000 EUR - 1st place"", ""5,000 EUR - 2nd place"").",,---,,4,1
+,BG-701,Exclusion Grounds,-,No,"The brief description of criteria regarding the personal situation of tenderers that may lead to their exclusion. This must include a list of all such criteria and indicate required information (e.g. self-declaration, documentation). This can also include specific national exclusion grounds. ",,---,,4,1
+,BG-702,Selection Criteria,-,Yes,Information about the selection criteria (or criterion). All criteria must be listed. This information may differ per lot.,,---,,4,1
++,BG-72,    Selection Criteria Second Stage Invite Number,-,Yes,Information about a number linked to the selection criteria (or criterion) used for selecting the candidates to be invited for the second stage of the procedure.,,---,,4,1
+,BG-705,Other Requirements,-,Yes,"Information about any other requirements for participation in the procedure and terms governing the future contract. The requirements must include a description of methods according to which they will be verified. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",O,---,,4,1
++,BT-1379,    Requirements Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the other requirements section refer this lot (or part) or these lots (or parts).",CM,new term overall,,4,1
++,BT-71,    Reserved Participation,Code,Yes,"Whether participation is reserved for specific organisations (e.g. sheltered workshops, organisations pursuing a public service mission).",O,new term,,4,1
+,BG-711,Contract Terms,-,Yes,"Information about the terms governing the future contract. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",O,---,,4,1
++,BT-13717,    Terms Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the contract terms section refer this lot (or part) or these lots (or parts).",CM,new term overall,,4,1
++,BT-736,    Reserved Execution,Code,No,Whether the execution of the contract must be performed in the framework of sheltered employment programmes.,O,new term,,4,1
+,BG-707,Award Criteria,-,Yes,Information about the award criteria. This information may differ per lot.,,---,,4,1
++,BG-38,    Award Criterion,-,Yes,Information about the award criterion.,,---,,4,1
+++,BG-541,        Award Criterion Number,-,Yes,Information about a number linked to an award criterion.,,---,,4,1
+,BG-706,Techniques,-,Yes,"Information about the use of sets of techniques such as framework agreements without reopening of competition, framework agreements with reopening of competition, dynamic purchasing systems, and electronic auctions. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",O,---,,4,1
++,BT-13711,    Techniques Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures.  The information in the techniques section refers to this lot (or part) or these lots (or parts).",CM,new term overall,,4,1
++,BT-765,    Framework Agreement,Code,No,"Whether a framework agreement with, without, or with and without the reopening of competition is involved.",O,new term,,4,1
+,BG-100,Communication,-,Yes,"General information about communication with the buyer(s). This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",M,---,,4,1
++,BT-13712,    Communication Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures.  The information in the communication section refers to this lot (or part) or these lots (or parts).",CM,II.2.1.1,Lot no,4,1
++,BT-632,    Tool Name,Text,No,The name of the electronic tool or device used for electronic communication.,O,new term overall,,4,1
++,BT-724,    Tool Atypical,Indicator,No,Electronic communication requires the use of tools and devices that are not generally available.,O,new term overall,,4,1
++,BT-124,    Tool Atypical URL,URL,Yes,Electronic communication requires the use of tools and devices that are not generally available. The uniform resource locator (e.g. the web address) which gives unrestricted and full direct access to these tools and devices.,O,I.3.5,"Electronic communication requires the use of tools and devices that are not generally available. Unrestricted and full direct access to these tools and devices is possible, free of charge, at: (URL)",4,1
++,BT-127,    Future Notice,Date,No,The estimated date of publication of a contract notice within this procedure.,M,II.3,Estimated date of publication of contract notice,4,1
+,BG-101,Procurement Documents,-,Yes,"Information about the procurement documents. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",O,---,,4,1
++,BT-13718,    Documents Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures.  The information in the procurement documents section refers to this lot (or part) or these lots (or parts).",CM,new term overall,,4,1
++,BT-15,    Documents URL,URL,No,"The internet address for accessing (the non-restricted part of) the procurement documents. For all notices except prior information notices, the address must give access that is direct (i.e. the exact webpage with the documents, not a general website), unrestricted (e.g. no registration), full (i.e. the procurement documents must be complete) and free of charge and the documents must be available already at the time of the publication of the notice.",O,new term,,4,1
++,BT-708,    Documents Official Language,Code,Yes,The language(s) in which the procurement documents are officially available. These linguistic versions are equally legally valid.,O,new term overall,,4,1
++,BT-737,    Documents Unofficial Language,Code,Yes,"The language(s) in which the procurement documents (or their parts) are unofficially available. These linguistic versions are not an official translation, they are provided only for information.",O,new term overall,,4,1
++,BT-14,    Documents Restricted,Indicator,No,The access to certain procurement documents is restricted.,O,new term,,4,1
++,BT-707,    Documents Restricted Justification,Code,No,The justification for restricting access to certain procurement documents.,O,new term overall,,4,1
++,BT-615,    Documents Restricted URL,URL,No,The internet address with information on accessing the restricted (part of the) procurement documents.,O,new term,,4,1
++,BT-13,    Additional Information Deadline,Date,No,The time limit for requesting additional information about the procurement procedure.,O,new term,,4,1
+,BG-102,Submission Terms,-,Yes,"Information about submission terms of the tender, request to participate, or expression of interest. This information may differ per lot.",,---,,4,1
+,BG-7,Notice Result,-,No,"Information about all the results of the procurement procedure or, if they exist, individual lots announced in this notice.",,---,,4,1
++,BG-556,    Group Framework Value,-,Yes,"Information about the maximum or estimated value which can be spent, in a framework agreement, within a group of lots. This information can be provided when the maximum value of a group of lots is lower than the sum of values of individual lots (e.g. when the same budget is shared for several lots).",,---,,4,1
++,BG-137,    Procedure Lot Result,-,Yes,Information about the result of the procurement procedure. This information differs per lot.,,---,,4,1
+++,BG-712,        Received Submissions,-,Yes,Information about the types of tenders or requests to participate received.,,---,,4,1
++,BG-320,    Tender,-,Yes,"Information about a tender. This information differs per lot. In cases such as design contests, some framework agreements and innovation partnerships, this information may also differ per organisation.",,---,,4,1
+++,BG-180,        Subcontracting,-,No,Information regarding the parts of the contract that the contractor will subcontract to third parties.,,---,,4,1
++,BG-310,    Contract,-,Yes,"Information about the contract between a buyer and a winner following a tender. In case of voluntary-ex ante transparency notices and design contest result notices, information about the decision of the evaluation committee or the jury, respectively. This information may differ per tender.",,---,,4,1
+++,BG-611,        Contract EU Funds,-,Yes,"Information about European Union funds used to finance the contract. The most concrete information must be given (e.g. about concrete projects, not just operational programs.)",,---,,4,1
+,BG-713,Strategic Procurement,-,Yes,Information about strategic procurement. This information may differ per section of the notice.,,---,,4,1
+,BG-612,    Buyer Review Summary,-,No,"Summary information about the requests the buyer received to review any of its decisions (e.g. the technical specifications, award decision), as set out in Art. 1(5) of Directive 89/665/EEC and Directive 92/13/EEC, and about the complainants that submitted the requests.",,---,,4,1
++,BG-613,    Buyer Review Requests,-,Yes,"Information about the number and type of requests the buyer received to review any of its decisions (e.g. the technical specifications, award decision).",,---,,4,1
+,BG-710,Additional Information,-,Yes,"Any information not mentioned elsewhere. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",M,---,,4,1
++,BT-13715,    Additional Information Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures. The information in the additional information section refer this lot (or part) or these lots (or parts).",CM,II.2.1.1,Lot no,4,1
++,BT-726,    Suitable For SMEs,Indicator,No,The buyer emphasizes that this procurement is also suitable for small and medium enterprises (SMEs).,O,new term overall,,4,1
++,BT-115,    GPA Coverage,Indicator,No,The procurement is covered by the Government Procurement Agreement (GPA).,CM,IV.1.8,Information about the Government Procurement Agreement (GPA),4,1
++,BT-300,    Additional Information,Text,No,Any information not mentioned elsewhere.,O,II.2.14,Additional information,4,1
++,BT-300,    Additional Information,Text,No,Any information not mentioned elsewhere.,O,VI.3,Additional information,4,1
+,BG-8,Not Immediately Published,-,Yes,Information about fields not intended for immediate publication. This information may differ per field.,,---,,4,1
+,BG-77,Modification,-,Yes,"Information about modifications of the contract (e.g. additional works, services or supplies). This information may differ per section of the previous notice.",,---,,4,1
+,BG-9,Change,-,Yes,Information about changes to the notice. This information may differ per section of the previous notice.,,---,,4,1
+,BG-714,Review,-,Yes,Information about a review request or a review decision.,,---,,4,1
+,BG-1,Notice,-,No,Basic information about the notice.,M,---,,7,1
++,BT-701,    Notice Identifier,Identifier,No,"The European Public Procurement Notice Identifier of this notice. Including this identifier in all published version of this notice (e.g. TED, national publication portals, regional publication portals) allows unique identification of procurement notices around the EU.",M,new term overall,,7,1
++,BT-757,    Notice Version,Identifier,No,"The version of the notice. This helps, for example, to avoid errors caused by multiple change notices sent at a similar time.",M,new term overall,,7,1
++,BT-01,    Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,7,1
++,BT-03,    Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,7,1
++,BT-02,    Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,7,1
++,BT-05,    Notice Dispatch Date,Date,No,The date and time when the notice has been sent to TED.,M,VI.5,Date of dispatch of this notice: (dd/mm/yyyy),7,1
++,BT-738,    Notice Publication Date Preferred,Date,No,The preferred date of publication of the notice on TED (e.g. to avoid publication during a national holiday). ,O,new term overall,,7,1
++,BT-702,    Notice Official Language,Code,Yes,The language(s) in which this notice is officially available. These linguistic versions are equally legally valid.,M,new term overall,,7,1
+,BG-125,Previous Planning,-,Yes,"Information about a prior information notice or another similar notice related to this notice. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",O,---,,7,1
++,BT-1371,    Previous Planning Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of a prior information notice used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the previous planning section refers to this lot (or part) or these lots (or parts).",CM,new term overall,,7,1
++,BT-125,    Previous Planning Identifier,Identifier,No,The identifier of a prior information notice or another similar notice related to this notice.,O,new term,,7,1
++,BT-1251,    Previous Planning Part Identifier,Identifier,Yes,The identifier of a part of a prior information notice or another similar notice related to this notice.,O,new term overall,,7,1
+,BG-703,Organisation,-,Yes,"Information about the organisation. This information may differ per lot, per contract, per tender, etc. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",M,---,,7,1
++,BT-13720,    Organisation Notice Section Identifier,Identifier,Yes,An identifier of one or more sections within this notice. The information in the organisation section refers to this section or these sections.,CM,new term overall,,7,1
++,BT-500,    Organisation Name,Text,No,The official name of the organisation.,CM,I.1.1,Official name ,7,1
++,BT-501,    Organisation Identifier,Identifier,Yes,An identifier of the organisation. All of the organisation's identifiers shall be given.,CM,I.1.2,National registration number ,7,1
++,BT-16,    Organisation Part Name,Text,No,The name of a part of an organisation (e.g. the relevant department of a large buyer).,O,new term overall,,7,1
++,BT-510,    Organisation Street,Text,No,"The name of the street, road, avenue, etc., of the organisation's physical address and further identification (e.g. building number).",EM,I.1.3,Postal address,7,1
++,BT-513,    Organisation City,Text,No,"The name of the locality (city, town or village) of the organisation's physical address.",CM,I.1.4,Town,7,1
++,BT-512,    Organisation Post Code,Text,No,The post code of the organisation's physical address.,CM,I.1.6,Postal code ,7,1
++,BT-507,    Organisation Country Subdivision,Code,No,The location according to the common classification of territorial units for statistics (NUTS) of the organisation's physical address. The NUTS3 classification code must be used.,CM,I.1.5,NUTS code,7,1
++,BT-514,    Organisation Country Code,Code,No,The country of the organisation's physical address.,CM,I.1.7,Country,7,1
++,BT-502,    Organisation Contact Point,Text,No,"The name of the department or other contact point for communicating with the organisation. To avoid unnecessary processing of personal data, the contact point may allow the identification of a physical person only when necessary (in the sense of Regulation (EU) 2016/679 and Regulation (EU) 2018/1725).",O,I.1.8,Contact person,7,1
++,BT-506,    Organisation Contact Email Address,Text,No,"The email for contacting the organisation. To avoid unnecessary processing of personal data, the email may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",CM,I.1.10,E-mail,7,1
++,BT-503,    Organisation Contact Telephone Number,Text,No,"The telephone for contacting the organisation. To avoid unnecessary processing of personal data, the telephone may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.9,Telephone,7,1
++,BT-739,    Organisation Contact Fax,Text,No,"The fax for contacting the organisation. To avoid unnecessary processing of personal data, the fax may allow the identification of a physical person only when necessary (in the sense of the General Data Protection Regulation).",EM,I.1.11,Fax,7,1
++,BT-505,    Organisation Internet Address,URL,No,The website of the organisation.,EM,I.1.12.1,Main address,7,1
++,BT-509,    Organisation eDelivery Gateway,URL,No,The organisation's uniform resource locator for exchange of data and documents.,O,new term overall,,7,1
++,BT-633,    Organisation Natural Person,Indicator,No,The organisation is a natural person.,O,new term overall,,7,1
++,BT-08,    Organisation Role,Code,No,"The role of the organisation in the procurement procedure (e.g. buyer, winner). A notice must contain all organisations in the procedure that have the role of a buyer; a winner; a review body; a buyer acquiring supplies and/or services intended for other buyers; a buyer awarding public contracts or concluding framework agreements for works, supplies or services intended for other buyers.",M,new term overall,,7,1
++,BT-770,    Organisation Subrole,Code,Yes,"The sub-role of the organisation in the procurement procedure (e.g. group leader, organisation providing additional information about the procurement procedure).",O,new term overall,,7,1
++,BG-3,    Buyer,-,No,Additional information about the buyer.,CM,---,,7,1
+++,BT-508,        Buyer Profile URL,URL,No,"The website where the buyer publishes information regarding procurement procedures (e.g. notices, procurement documents).",O,I.1.12.2,Address of the buyer profile,7,1
+++,BT-11,        Buyer Legal Type,Code,No,"The type of buyer according to procurement legislation (e.g. central government authority, body governed by public law, public undertaking).",M,I.4,Type of the contracting authority,7,1
+++,BT-10,        Activity Authority,Code,No,The main activity of the contracting authority.,M,I.5,Main activity,7,1
++,BG-4,    Winner,-,No,"Additional information about the winner, tenderer or subcontractor.",,---,,7,1
++,BG-715,    Review Body,-,No,Additional information about the review body.,,---,,7,1
+,BG-2,Purpose,-,Yes,"Information about the purpose. This information must be given for the whole procurement procedure and, if they exist, also per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",M,---,,7,1
++,BT-137,    Purpose Lot Identifier,Identifier,No,"The identifier of a lot. In case of PINs used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the purpose section refers to this lot or part.",CM,II.2.1.1,Lot no,7,1
++,BT-22,    Internal Identifier,Text,No,The internal identifier used for files regarding the procurement procedure or lot before a procedure identifier is given (e.g. coming from the buyer's document management system or procurement planning system). ,O,II.1.1.1,Reference number,7,1
++,BT-23,    Main Nature,Code,No,"The main nature (e.g. works) of what is being bought. In case of mixed procurement (e.g. a procedure for both works and services), the main nature may be, for example, the one with the highest estimated value. This information must be given for the whole procedure.",CM,II.1.3,Type of contract   ,7,1
++,BT-531,    Additional Nature,Code,Yes,"The nature (e.g. services) of what is being bought, additional to Main Nature.",EM,new term,,7,1
++,BT-21,    Title,Text,No,The name of the procurement procedure or lot.,M,II.1.1,Title,7,1
++,BT-21,    Title,Text,No,The name of the procurement procedure or lot.,M,II.2.1,Title,7,1
