xpath,label-key,comment,guidance,index,file
/CONTRACTING_BODY/CENTRAL_PURCHASING,joint_procurement_central,https://github.com/open-contracting-archive/trade/tree/master/draft_extensions/parties_details_COFOG,Add 'centralPurchasingBody' to the `.roles` of the party,I.2.2,F01_2014.csv
/CONTRACTING_BODY/DOCUMENT_FULL,address_obtain_docs,,"Discard. If no `ParticipationFee` object in the `tender.participationFees` array has a `.type` of 'document', then access is unrestricted.",I.3.1,F01_2014.csv
/CONTRACTING_BODY/DOCUMENT_RESTRICTED,docs_restricted,,"Add a `ParticipationFee` object to the `tender.participationFees` array, set its `.type` to 'document', and set its `.id` to '1'.",I.3.2,F01_2014.csv
/CONTRACTING_BODY/URL_DOCUMENT,,,"Map to the party's `.contactPoint.url`. If there is no URL scheme, prefix by 'http://'.",no index,F01_2014.csv
/CONTRACTING_BODY/ADDRESS_FURTHER_INFO_IDEM,as_contacts_above,,Discard. Additional information can be obtained from the abovementioned address unless otherwised specified.,I.3.3.1,F01_2014.csv
/CONTRACTING_BODY/ADDRESS_FURTHER_INFO,address_another,,"If only the contact person is different, get the `Organization` object for the buyer, add a `ContactPoint` object to its `.additionalContactPoints` array, and set its [fields as above](#/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/CONTACT_POINT).\n\nOtherwise, [add a party](../../operations/#add-a-party), add 'processContactPoint' to its `.roles`, and set its [fields as above](#/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/OFFICIALNAME).",I.3.3.2,F01_2014.csv
/CONTRACTING_BODY/URL_PARTICIPATION,address_send_tenders,,"Add 'electronicSubmission' to `tender.submissionMethod`, and map to `tender.submissionMethodDetails`\n\nIf *to the following address* is selected, this results in a loss of structure. (WARNING #27)",I.3.4.1,F01_2014.csv
/CONTRACTING_BODY/ADDRESS_PARTICIPATION_IDEM,address_to_above,,"Add 'written' to `tender.submissionMethod`, and discard. Tenders or requests to participate must be submitted to the abovementioned address unless otherwised specified.",I.3.4.1.1,F01_2014.csv
/CONTRACTING_BODY/ADDRESS_PARTICIPATION,address_following,,"Add 'written' to `tender.submissionMethod`, and map to `tender.submissionMethodDetails` as a formatted address string\n\nIf *electronically via* is checked, this results in a loss of structure. (WARNING #27)",I.3.4.1.2,F01_2014.csv
/CONTRACTING_BODY/URL_TOOL,url_communication_tools,,Map to `tender.communication.atypicalToolUrl`,I.3.5,F01_2014.csv
/CONTRACTING_BODY/CA_TYPE,ca_type,https://github.com/open-contracting-archive/trade/tree/master/draft_extensions/parties_details_COFOG,"Get the `Organization` object for the buyer, and add a `Classification` object to its `.details.classifications` array. Set the classification's `.scheme` to 'TED_CA_TYPE', and set its `.id` and/or `.description` as follows:",I.4,F01_2014.csv
/CONTRACTING_BODY/CA_TYPE_OTHER,other_type,,Map to `.description` (`.id` won't be set),no index,F01_2014.csv
/CONTRACTING_BODY/CA_ACTIVITY,mainactivity,https://github.com/open-contracting-archive/trade/tree/master/draft_extensions/parties_details_COFOG,"Get the `Organization` object for the buyer, and add a `Classification` object to its `.details.classifications` array. Set the classification's `.scheme` to ['COFOG'](https://unstats.un.org/unsd/publications/catalogue?selectID=145), and set its `.id` and/or `.description` as follows:",I.5,F01_2014.csv
/CONTRACTING_BODY/CA_ACTIVITY_OTHER,other_activity,,Map to `.description` (`.id` won't be set),no index,F01_2014.csv
/OBJECT_CONTRACT,object,,,II,F01_2014.csv
/OBJECT_CONTRACT/@ITEM,,,Discard,no index,F01_2014.csv
/OBJECT_CONTRACT/TITLE,title_contract,,Map to `tender.title`,II.1.1,F01_2014.csv
/OBJECT_CONTRACT/REFERENCE_NUMBER,fileref,https://github.com/open-contracting-archive/trade/tree/master/draft_extensions/release_BuyerInternalReferenceID,"If not set, let *Reference number* be equal to the `ocid` value. Map to `tender.id` (string).",II.1.1.1,F01_2014.csv
/OBJECT_CONTRACT/CPV_MAIN,,https://github.com/open-contracting-archive/trade/blob/master/draft_extensions/tender_Classification,,no index,F01_2014.csv
/OBJECT_CONTRACT/CPV_MAIN/CPV_CODE,cpv_main,,"Set `tender.classification.scheme` to 'CPV', take the CPV code in the `CODE` attribute, and map to `tender.classification.id`",II.1.2,F01_2014.csv
/OBJECT_CONTRACT/CPV_MAIN/CPV_SUPPLEMENTARY_CODE,cpv_supplem,,"For each `CODE` attribute, add a `Classification` object to the `tender.additionalClassifications` array, set its `.scheme` to 'CPVS', prefix by the *Main CPV code*, and map to its `.id`. Remove any duplicate entries from the `tender.additionalClassifications` array.",II.1.2.1,F01_2014.csv
/OBJECT_CONTRACT/TYPE_CONTRACT,type_contract,,Set `tender.mainProcurementCategory` as follows:,II.1.3,F01_2014.csv
/OBJECT_CONTRACT/SHORT_DESCR,descr_short,,Map to `tender.description`,II.1.4,F01_2014.csv
/OBJECT_CONTRACT/VAL_ESTIMATED_TOTAL,value_excl_vat,,Map to `tender.value.amount`,II.1.5.1,F01_2014.csv
/OBJECT_CONTRACT/VAL_ESTIMATED_TOTAL/@CURRENCY,currency,,Map to `tender.value.currency`,II.1.5.2,F01_2014.csv
/OBJECT_CONTRACT/LOT_DIVISION,_yes,,"Discard. If `tender.lots` contains more than one object, then the contract is divided into lots.",II.1.6.1,F01_2014.csv
/OBJECT_CONTRACT/NO_LOT_DIVISION,_no,,"Discard. If `tender.lots` contains one or fewer objects, then the contract isn't divided into lots.",no index,F01_2014.csv
/OBJECT_CONTRACT/LOT_DIVISION/LOT_ALL,lots_all,,"Set `tender.lotDetails.maximumLotsBidPerSupplier` to the number (not the string) 1e9999 (which parses to infinity i.e. ""all"")",II.1.6.2.1,F01_2014.csv
/OBJECT_CONTRACT/LOT_DIVISION/LOT_MAX_NUMBER,lots_max,,Map to `tender.lotDetails.maximumLotsBidPerSupplier`,II.1.6.2.2,F01_2014.csv
/OBJECT_CONTRACT/LOT_DIVISION/LOT_ONE_ONLY,lot_one_only,,Set `tender.lotDetails.maximumLotsBidPerSupplier` to 1,II.1.6.2.3,F01_2014.csv
/OBJECT_CONTRACT/LOT_DIVISION/LOT_MAX_ONE_TENDERER,lots_max_awarded,,Map to `tender.lotDetails.maximumLotsAwardedPerSupplier`,II.1.6.3,F01_2014.csv
/OBJECT_CONTRACT/LOT_DIVISION/LOT_COMBINING_CONTRACT_RIGHT,lots_combination_possible,,Map to `tender.lotDetails.awardCriteriaDetails`,II.1.6.4,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR,description,,"Add a `Lot` object to the `tender.lots` array, and add an `Item` object to the `tender.items` array. Set the lot's `.status` to the same value as `tender.status`.\n\n**F12, F13**: Instead, do nothing.",II.2,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/@ITEM,,,Discard,no index,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/TITLE,title_contract,,Map to the lot's `.title`,II.2.1,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/LOT_NO,lot_number,,"If not set, let *Lot No* be '1'. Map to the lot's `.id` (string), map to the item's `.id` (string), and map to the item's `.relatedLot` (string).",II.2.1.1,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/CPV_ADDITIONAL,cpv_additional,,,II.2.2,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/CPV_ADDITIONAL/CPV_CODE,cpv_main,,"For each `CODE` attribute, add a `Classification` object to the item's `.additionalClassifications` array, set its `.scheme` to 'CPV', and map to its `.id`. Remove any duplicate entries from the item's `.additionalClassifications` array.\n\n**F12, F13**: Instead, for each `CODE` attribute, add a `Classification` object to the `tender.additionalClassifications` array, set its `.scheme` to 'CPV', and map to its `.id`. Remove any duplicate entries from the `tender.additionalClassifications` array.",II.2.2.1,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/CPV_ADDITIONAL/CPV_SUPPLEMENTARY_CODE,cpv_supplem,,"For each `CODE` attribute, add a `Classification` object to the item's `.additionalClassifications` array, set its `.scheme` to 'CPVS', prefix by the *Main CPV code*, and map to its `.id`. Remove any duplicate entries from the item's `.additionalClassifications` array.\n\n**F12, F13**: Instead, for each `CODE` attribute, add a `Classification` object to the `tender.additionalClassifications` array, set its `.scheme` to 'CPVS', prefix by the *Main CPV code*, and map to its `.id`. Remove any duplicate entries from the `tender.additionalClassifications` array.",II.2.2.2,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/NUTS,nutscode,,"For each `NUTS` element, take the NUTS code in its `CODE` attribute, add an `Address` object to the item's `.deliveryAddresses` array, and map to its `.region`.\n\nThere's an open issue ([#739](https://github.com/open-contracting/standard/issues/739)) about region codes. (ISSUE)",II.2.3.1,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/MAIN_SITE,mainsiteplace_works_delivery,,Map to the item's `.deliveryLocation.description`,II.2.3.2,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/SHORT_DESCR,descr_procurement,,"Map to the lot's `.description`\n\n**F12, F13**: Instead, map to `tender.description`",II.2.4,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/AC,award_criteria,,,II.2.5,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/AC/AC_QUALITY,award_criterion_quality,,"Add an `AwardCriterion` object to the lot's `.awardCriteria.criteria` array (`.awardCriteria` is an object), and set its `.type` to 'quality'.",tbd,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/AC/AC_QUALITY/AC_CRITERION,award_criterion_name,,Map to the criterion's `.name`,tbd,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/AC/AC_QUALITY/AC_WEIGHTING,weighting,,Map to the criterion's `.description`,tbd,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/AC/AC_COST,award_lowest_cost,,"Add an `AwardCriterion` object to the lot's `.awardCriteria.criteria` array, and set its `.type` to 'cost'.",tbd,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/AC/AC_PRICE,price,,"Add an `AwardCriterion` object to the lot's `.awardCriteria.criteria` array, and set its `.type` to 'price'.",tbd,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/AC/AC_PRICE/AC_WEIGHTING,weighting,,Map to the criterion's `.description`,tbd,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/AC/AC_PROCUREMENT_DOC,award_criteria_descriptive,,"Discard. If the lot's `.awardCriteria.criteria` isn't set, then price is not the only award criterion and all criteria are stated only in the procurement documents.",tbd,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/VAL_OBJECT,value_excl_vat,,Map to the lot's `.value.amount`,II.2.6.1,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/VAL_OBJECT/@CURRENCY,currency,,Map to the lot's `.value.currency`,no index,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/DURATION,duration_contract_framework_dps,,,II.2.7,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/DATE_START,starting,,Map to the lot's `.contractPeriod.startDate`,II.2.7.2,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/DATE_END,end,,Map to the lot's `.contractPeriod.endDate`,II.2.7.3,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/RENEWAL,renewals_subject,https://github.com/open-contracting-archive/trade/tree/master/draft_extensions/lot_Renewals,Set the lot's `.hasRenewal` to `true`,II.2.7.4,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/RENEWAL_DESCR,renewals_descr,,Map to the lot's `.renewal.description`,II.2.7.5,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/ACCEPTED_VARIANTS,variants_accepted,https://github.com/open-contracting-archive/trade/tree/master/draft_extensions/lot_Variants,Set the lot's `.submissionTerms.variantPolicy` to 'allowed',II.2.10,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/OPTIONS,options,https://github.com/open-contracting-archive/trade/tree/master/draft_extensions/lot_Options,Set the lot's `.hasOptions` to `true`,II.2.11.1,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/OPTIONS_DESCR,options_descr,,Map to the lot's `.options.description`,II.2.11.2,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/EU_PROGR_RELATED,_yes,https://github.com/open-contracting-archive/trade/tree/master/draft_extensions/budget_isEUFunded https://github.com/open-contracting-archive/trade/tree/master/draft_extensions/budget_EUFunded,"* Get the `Organization` object whose `.name` is 'European Union'. If none exists yet:\n  * [Add a party](../../operations/#add-a-party)\n  * Set its `.name` to 'European Union'\n* Add 'funder' to its `.roles`\n\n* Get the `Finance` object whose `.description` is the *Identification of the project*. If none exists yet:\n  * Add a `Finance` object to the `planning.budget.finance` array\n  * Map the *Identification of the project* to its `.description`\n  * Set its `.id` incrementally\n  * Set its `.financingParty.name` to 'European Union'\n  * Set its `.financingParty.id` to the party's `.id`\n* Add the lot's `.id` to the Finance object's `.relatedLots` (**F12, F13**: Instead, do nothing)\n\nIn [future forms](https://github.com/eForms/eForms/issues/181#issuecomment-439861320), this field will be de-emphasized.",II.2.13.1,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/NO_EU_PROGR_RELATED,_no,,"Discard. If there's no party with the role 'funder' and the name 'European Union', then the procurement isn't related to a project and/or programme financed by European Union funds.",no index,F01_2014.csv
/OBJECT_CONTRACT/OBJECT_DESCR/INFO_ADD,info_additional,,Append to the lot's `.description`\n\nThis results in a loss of structure. (WARNING #28),II.2.14,F01_2014.csv
/OBJECT_CONTRACT/DATE_PUBLICATION_NOTICE,date_of_contract_notice,,Map to `tender.communication.futureNoticeDate`,II.3,F01_2014.csv
/LEFTI,info_legal,,"The standard forms express exclusion grounds and selection criteria in this section as unstructured text. In the introductory note to its [eForms consultation](https://github.com/eForms/eForms), the European Commission had proposed to create an extension to eForms to implement the [European Single Procurement Document (ESPD)](http://ec.europa.eu/growth/single-market/public-procurement/e-procurement/espd/) [Exchange Data Model](https://github.com/ESPD/ESPD-EDM), which expresses this information as structured data, following the model of the [Core Criterion and Core Evidence Vocabulary](https://joinup.ec.europa.eu/solution/core-criterion-and-core-evidence-vocabulary).",III,F01_2014.csv
/LEFTI/SUITABILITY,info_evaluating_requir,,"Add a `SelectionCriterion` object to the `tender.selectionCriteria.criteria` array, set its `.type` to 'suitability', and map to its `.description`.",III.1.1,F01_2014.csv
/LEFTI/ECONOMIC_CRITERIA_DOC,criteria_selection_docs,,"Add a `SelectionCriterion` object to the `tender.selectionCriteria.criteria` array, set its `.type` to 'economic', and set its `.description` to ""As stated in the procurement documents"".",no index,F01_2014.csv
/LEFTI/ECONOMIC_FINANCIAL_INFO,info_evaluating_weth_requir,,"Add a `SelectionCriterion` object to the `tender.selectionCriteria.criteria` array, set its `.type` to 'economic', and map to its `.description`.",III.1.2.1,F01_2014.csv
/LEFTI/ECONOMIC_FINANCIAL_MIN_LEVEL,min_standards_required,,"Get the `SelectionCriterion` object whose `.type` is 'economic'; if none exists, add a `SelectionCriterion` object to the `tender.selectionCriteria.criteria` array, and set its `.type` to 'economic'. Then, map to its `.minimum`.",III.1.2.2,F01_2014.csv
/LEFTI/TECHNICAL_CRITERIA_DOC,criteria_selection_docs,,"Add a `SelectionCriterion` object to the `tender.selectionCriteria.criteria` array, set its `.type` to 'technical', and set its `.description` to ""As stated in the procurement documents"".",no index,F01_2014.csv
/LEFTI/TECHNICAL_PROFESSIONAL_INFO,info_evaluating_weth_requir,,"Add a `SelectionCriterion` object to the `tender.selectionCriteria.criteria` array, set its `.type` to 'technical', and map to its `.description`.",III.1.3.1,F01_2014.csv
/LEFTI/TECHNICAL_PROFESSIONAL_MIN_LEVEL,min_standards_required,,"Get the `SelectionCriterion` object whose `.type` is 'technical'. If none exists, add a `SelectionCriterion` object to the `tender.selectionCriteria.criteria` array, and set its `.type` to 'technical'. Then, map to its `.minimum`.",III.1.3.2,F01_2014.csv
/LEFTI/RESTRICTED_SHELTERED_WORKSHOP,restricted_sheltered_workshop,,Add 'shelteredWorkshop' to the `tender.otherRequirements.reservedParticipation` array,III.1.5.1,F01_2014.csv
/LEFTI/RESTRICTED_SHELTERED_PROGRAM,restricted_sheltered_program,,Set `tender.contractTerms.reservedExecution` to `true`,III.1.5.2,F01_2014.csv
/LEFTI/PARTICULAR_PROFESSION,particular_profession_reserved,,"Add a `SelectionCriterion` object to the `tender.selectionCriteria.criteria` array and set its `.type` to 'technical'. If *Reference to the relevant law, regulation or administrative provision* is set, map it to the criterion's `.description`. Otherwise, set the criterion's `.description` to 'Execution of the service is reserved to a particular profession'.",III.2.1.1,F01_2014.csv
/LEFTI/REFERENCE_TO_LAW,ref_law_reg_prov,,See *Execution of the service is reserved to a particular profession*,III.2.1.2,F01_2014.csv
/LEFTI/PERFORMANCE_CONDITIONS,other_conditions,,Map to `tender.contractTerms.performanceTerms`,III.2.2,F01_2014.csv
/LEFTI/PERFORMANCE_STAFF_QUALIFICATION,staff_responsible_indicate,,Set `tender.otherRequirements.requiresStaffNamesAndQualifications` to `true`,III.2.3,F01_2014.csv
/PROCEDURE,procedure,,,IV,F01_2014.csv
/PROCEDURE/PT_RESTRICTED,proctype_restricted,,"Set `tender.procurementMethod` to 'selective', and set `tender.procurementMethodDetails` to 'Restricted procedure'",IV.1.1.2,F01_2014.csv
/PROCEDURE/PT_COMPETITIVE_NEGOTIATION,proctype_comp_negotiation,,"Set `tender.procurementMethod` to 'selective', and set  `tender.procurementMethodDetails` to 'Competitive procedure with negotiation'",IV.1.1.3,F01_2014.csv
/PROCEDURE/FRAMEWORK,notice_involves_framework,,Set `tender.techniques.hasFrameworkAgreement` to `true`,IV.1.3.1,F01_2014.csv
/PROCEDURE/FRAMEWORK/SEVERAL_OPERATORS,framework_several,,"If *Envisaged maximum number of participants to the framework agreement* isn't set, set `tender.techniques.frameworkAgreement.maximumParticipants` to the number (not the string) 1e9999 (which parses to infinity)",IV.1.3.1.2,F01_2014.csv
/PROCEDURE/FRAMEWORK/NB_PARTICIPANTS,framework_particip_envis,,Map to `tender.techniques.frameworkAgreement.maximumParticipants`,IV.1.3.1.3,F01_2014.csv
/PROCEDURE/FRAMEWORK/SINGLE_OPERATOR,framework_single,,Set `tender.techniques.frameworkAgreement.maximumParticipants` to 1,IV.1.3.1.1,F01_2014.csv
/PROCEDURE/FRAMEWORK/JUSTIFICATION,framework_just_four,,Map to `tender.techniques.frameworkAgreement.periodRationale`,IV.1.3.3,F01_2014.csv
/PROCEDURE/DPS,notice_involves_dps,,Set `tender.techniques.hasDynamicPurchasingSystem` to `true`,IV.1.3.2,F01_2014.csv
/PROCEDURE/DPS_ADDITIONAL_PURCHASERS,dps_purchasers,,Set `tender.techniques.dynamicPurchasingSystem.type` to 'open',IV.1.3.2.1,F01_2014.csv
/PROCEDURE/EAUCTION_USED,eauction_will_used,,Set `tender.techniques.hasElectronicAuction` to `true`,IV.1.6.1,F01_2014.csv
/PROCEDURE/INFO_ADD_EAUCTION,eauction_info_addit,,Map to `tender.techniques.electronicAuction.description`,IV.1.6.2,F01_2014.csv
/PROCEDURE/CONTRACT_COVERED_GPA,_yes,,Add 'GPA' to the `tender.coveredBy` array,IV.1.8,F01_2014.csv
/PROCEDURE/NO_CONTRACT_COVERED_GPA,_no,,"Discard. If 'GPA' isn't in the `tender.coveredBy` array, then the procurement isn't covered by the GPA.",no index,F01_2014.csv
/PROCEDURE/DATE_RECEIPT_TENDERS,date,,Map to the date component of `tender.tenderPeriod.endDate`,IV.2.2,F01_2014.csv
/PROCEDURE/TIME_RECEIPT_TENDERS,time,,Map to the time component of `tender.tenderPeriod.endDate`,IV.2.3,F01_2014.csv
/PROCEDURE/LANGUAGES,languages_allowed,,,no index,F01_2014.csv
/PROCEDURE/LANGUAGES/LANGUAGE,,https://github.com/open-contracting-archive/trade/tree/master/draft_extensions/tender_SubmissionLanguages,Lowercase and add to the `tender.submissionTerms.languages` array,IV.2.4,F01_2014.csv
/PROCEDURE/DATE_AWARD_SCHEDULED,award_scheduled,,Map to `tender.awardPeriod.startDate`,IV.2.5,F01_2014.csv
/COMPLEMENTARY_INFO,info_complement,,,VI,F01_2014.csv
/COMPLEMENTARY_INFO/EORDERING,eordering_used,https://github.com/open-contracting-archive/trade/tree/master/draft_extensions/tender_ElectronicWorkflows,Set `tender.contractTerms.hasElectronicOrdering` to `true`,VI.2.1,F01_2014.csv
/COMPLEMENTARY_INFO/EINVOICING,einvoicing_used,https://github.com/open-contracting-archive/trade/tree/master/draft_extensions/tender_ElectronicWorkflows https://github.com/eForms/eForms/issues/88,Set `tender.contractTerms.electronicInvoicingPolicy` to 'allowed',VI.2.2,F01_2014.csv
/COMPLEMENTARY_INFO/EPAYMENT,epayment_used,https://github.com/open-contracting-archive/trade/tree/master/draft_extensions/tender_ElectronicWorkflows https://github.com/eForms/eForms/issues/88,Set `tender.contractTerms.hasElectronicPayment` to `true`,VI.2.3,F01_2014.csv
/COMPLEMENTARY_INFO/INFO_ADD,info_additional,,Map to the release's `description`,VI.3,F01_2014.csv
/COMPLEMENTARY_INFO/ADDRESS_REVIEW_BODY,appeals_body,https://github.com/open-contracting-archive/trade/tree/master/draft_extensions/tender_ReviewProcedure,"[Add a party](../../operations/#add-a-party), and add 'reviewBody' to its `.roles`",VI.4.1,F01_2014.csv
/COMPLEMENTARY_INFO/ADDRESS_REVIEW_BODY/OFFICIALNAME,name_official,,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/OFFICIALNAME,VI.4.1.1,F01_2014.csv
/COMPLEMENTARY_INFO/ADDRESS_REVIEW_BODY/ADDRESS,address_postal,,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/ADDRESS,VI.4.1.2,F01_2014.csv
/COMPLEMENTARY_INFO/ADDRESS_REVIEW_BODY/TOWN,address_town,,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/TOWN,VI.4.1.3,F01_2014.csv
/COMPLEMENTARY_INFO/ADDRESS_REVIEW_BODY/POSTAL_CODE,address_postcode,,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/POSTAL_CODE,VI.4.1.4,F01_2014.csv
/COMPLEMENTARY_INFO/ADDRESS_REVIEW_BODY/COUNTRY,address_country,,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/COUNTRY,VI.4.1.5,F01_2014.csv
/COMPLEMENTARY_INFO/ADDRESS_REVIEW_BODY/PHONE,address_phone,,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/PHONE,VI.4.1.7,F01_2014.csv
/COMPLEMENTARY_INFO/ADDRESS_REVIEW_BODY/E_MAIL,address_email,,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/E_MAIL,VI.4.1.6,F01_2014.csv
/COMPLEMENTARY_INFO/ADDRESS_REVIEW_BODY/FAX,address_fax,,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/FAX,VI.4.1.9,F01_2014.csv
/COMPLEMENTARY_INFO/ADDRESS_REVIEW_BODY/URL,internet,,/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY/URL_GENERAL,VI.4.1.8,F01_2014.csv
