xpath,index
/LEFTI/TECHNICAL_PROFESSIONAL_INFO,III.1.3.1
/LEFTI/TECHNICAL_PROFESSIONAL_MIN_LEVEL,III.1.3.2
/LEFTI/RESTRICTED_SHELTERED_WORKSHOP,III.1.5.1
/LEFTI/RESTRICTED_SHELTERED_PROGRAM,III.1.5.2
/LEFTI/PARTICULAR_PROFESSION,III.2.1.1
/LEFTI/REFERENCE_TO_LAW,III.2.1.2
/LEFTI/PERFORMANCE_CONDITIONS,III.2.2
/LEFTI/PERFORMANCE_STAFF_QUALIFICATION,III.2.3
/PROCEDURE,IV
/PROCEDURE/PT_RESTRICTED,IV.1.1.2
/PROCEDURE/PT_COMPETITIVE_NEGOTIATION,IV.1.1.3
/PROCEDURE/FRAMEWORK,IV.1.3.1
/PROCEDURE/FRAMEWORK/SEVERAL_OPERATORS,IV.1.3.1.2
/PROCEDURE/FRAMEWORK/NB_PARTICIPANTS,IV.1.3.1.3
/PROCEDURE/FRAMEWORK/SINGLE_OPERATOR,IV.1.3.1.1
/PROCEDURE/FRAMEWORK/JUSTIFICATION,IV.1.3.3
/PROCEDURE/DPS,IV.1.3.2
/PROCEDURE/DPS_ADDITIONAL_PURCHASERS,IV.1.3.2.1
/PROCEDURE/EAUCTION_USED,IV.1.6.1
/PROCEDURE/INFO_ADD_EAUCTION,IV.1.6.2
/PROCEDURE/CONTRACT_COVERED_GPA,IV.1.8
/PROCEDURE/NO_CONTRACT_COVERED_GPA,no index
/PROCEDURE/DATE_RECEIPT_TENDERS,IV.2.2
/PROCEDURE/TIME_RECEIPT_TENDERS,IV.2.3
/PROCEDURE/LANGUAGES,no index
/PROCEDURE/LANGUAGES/LANGUAGE,IV.2.4
/PROCEDURE/DATE_AWARD_SCHEDULED,IV.2.5
/COMPLEMENTARY_INFO,VI
/COMPLEMENTARY_INFO/EORDERING,VI.2.1
/COMPLEMENTARY_INFO/EINVOICING,VI.2.2
/COMPLEMENTARY_INFO/EPAYMENT,VI.2.3
/COMPLEMENTARY_INFO/INFO_ADD,VI.3
/COMPLEMENTARY_INFO/ADDRESS_REVIEW_BODY,VI.4.1
/COMPLEMENTARY_INFO/ADDRESS_REVIEW_BODY/OFFICIALNAME,VI.4.1.1
/COMPLEMENTARY_INFO/ADDRESS_REVIEW_BODY/ADDRESS,VI.4.1.2
/COMPLEMENTARY_INFO/ADDRESS_REVIEW_BODY/TOWN,VI.4.1.3
/COMPLEMENTARY_INFO/ADDRESS_REVIEW_BODY/POSTAL_CODE,VI.4.1.4
/COMPLEMENTARY_INFO/ADDRESS_REVIEW_BODY/COUNTRY,VI.4.1.5
/COMPLEMENTARY_INFO/ADDRESS_REVIEW_BODY/PHONE,VI.4.1.7
/COMPLEMENTARY_INFO/ADDRESS_REVIEW_BODY/E_MAIL,VI.4.1.6
/COMPLEMENTARY_INFO/ADDRESS_REVIEW_BODY/FAX,VI.4.1.9
/COMPLEMENTARY_INFO/ADDRESS_REVIEW_BODY/URL,VI.4.1.8
/COMPLEMENTARY_INFO/ADDRESS_MEDIATION_BODY,VI.4.2
/COMPLEMENTARY_INFO/REVIEW_PROCEDURE,VI.4.3
/COMPLEMENTARY_INFO/ADDRESS_REVIEW_INFO,VI.4.4
/COMPLEMENTARY_INFO/DATE_DISPATCH_NOTICE,VI.5
/OBJECT_CONTRACT/OBJECT_DESCR/NO_RENEWAL,no index
/OBJECT_CONTRACT/OBJECT_DESCR/NB_ENVISAGED_CANDIDATE,II.2.9.1
/OBJECT_CONTRACT/OBJECT_DESCR/NB_MIN_LIMIT_CANDIDATE,II.2.9.2
/OBJECT_CONTRACT/OBJECT_DESCR/NB_MAX_LIMIT_CANDIDATE,II.2.9.3
/OBJECT_CONTRACT/OBJECT_DESCR/CRITERIA_CANDIDATE,II.2.9.4
/OBJECT_CONTRACT/OBJECT_DESCR/NO_ACCEPTED_VARIANTS,no index
/OBJECT_CONTRACT/OBJECT_DESCR/NO_OPTIONS,no index
/OBJECT_CONTRACT/OBJECT_DESCR/ECATALOGUE_REQUIRED,II.2.12
/PROCEDURE/PT_OPEN,IV.1.1.1
/PROCEDURE/ACCELERATED_PROC,IV.1.1.1.2
/PROCEDURE/PT_COMPETITIVE_DIALOGUE,IV.1.1.4
/PROCEDURE/PT_INNOVATION_PARTNERSHIP,IV.1.1.5
/PROCEDURE/REDUCTION_RECOURSE,IV.1.4
/PROCEDURE/RIGHT_CONTRACT_INITIAL_TENDERS,IV.1.5
/PROCEDURE/NOTICE_NUMBER_OJ,IV.2.1
/PROCEDURE/DATE_DISPATCH_INVITATIONS,IV.2.3
/PROCEDURE/DATE_TENDER_VALID,IV.2.6
/PROCEDURE/DURATION_TENDER_VALID,IV.2.6
/PROCEDURE/OPENING_CONDITION,IV.2.7
/PROCEDURE/OPENING_CONDITION/DATE_OPENING_TENDERS,IV.2.7.1
/PROCEDURE/OPENING_CONDITION/TIME_OPENING_TENDERS,IV.2.7.2
/PROCEDURE/OPENING_CONDITION/PLACE,IV.2.7.3
/PROCEDURE/OPENING_CONDITION/INFO_ADD,IV.2.7.4
/COMPLEMENTARY_INFO/RECURRENT_PROCUREMENT,VI.1.1
/COMPLEMENTARY_INFO/ESTIMATED_TIMING,VI.1.2
/COMPLEMENTARY_INFO/NO_RECURRENT_PROCUREMENT,no index
/OBJECT_CONTRACT/VAL_TOTAL,II.1.7.2
/OBJECT_CONTRACT/VAL_TOTAL/@CURRENCY,II.1.7.5
/OBJECT_CONTRACT/VAL_RANGE_TOTAL,II.1.7
/OBJECT_CONTRACT/VAL_RANGE_TOTAL/@CURRENCY,II.1.7.5
/OBJECT_CONTRACT/VAL_RANGE_TOTAL/LOW,II.1.7.3
/OBJECT_CONTRACT/VAL_RANGE_TOTAL/HIGH,II.1.7.4
/PROCEDURE/PT_AWARD_CONTRACT_WITHOUT_CALL,IV.1.1.6
/PROCEDURE/TERMINATION_DPS,IV.2.8.1
/PROCEDURE/TERMINATION_PIN,IV.2.9.1
/AWARD_CONTRACT,V
/AWARD_CONTRACT/@ITEM,no index
/AWARD_CONTRACT/CONTRACT_NO,no index
/AWARD_CONTRACT/LOT_NO,no index
/AWARD_CONTRACT/TITLE,no index
/AWARD_CONTRACT/NO_AWARDED_CONTRACT,V.1
/AWARD_CONTRACT/NO_AWARDED_CONTRACT/PROCUREMENT_DISCONTINUED,V.1.2
/AWARD_CONTRACT/NO_AWARDED_CONTRACT/PROCUREMENT_UNSUCCESSFUL,V.1.1
/AWARD_CONTRACT/AWARDED_CONTRACT,V.2
/AWARD_CONTRACT/AWARDED_CONTRACT/DATE_CONCLUSION_CONTRACT,V.2.1
/AWARD_CONTRACT/AWARDED_CONTRACT/TENDERS,V.2.2
/AWARD_CONTRACT/AWARDED_CONTRACT/TENDERS/NB_TENDERS_RECEIVED,V.2.2.2
/AWARD_CONTRACT/AWARDED_CONTRACT/TENDERS/NB_TENDERS_RECEIVED_SME,V.2.2.3
/AWARD_CONTRACT/AWARDED_CONTRACT/TENDERS/NB_TENDERS_RECEIVED_OTHER_EU,V.2.2.4
/AWARD_CONTRACT/AWARDED_CONTRACT/TENDERS/NB_TENDERS_RECEIVED_NON_EU,V.2.2.5
/AWARD_CONTRACT/AWARDED_CONTRACT/TENDERS/NB_TENDERS_RECEIVED_EMEANS,V.2.2.6
/AWARD_CONTRACT/AWARDED_CONTRACT/CONTRACTORS,V.2.2
/AWARD_CONTRACT/AWARDED_CONTRACT/CONTRACTORS/AWARDED_TO_GROUP,V.2.2.6
/AWARD_CONTRACT/AWARDED_CONTRACT/CONTRACTORS/NO_AWARDED_TO_GROUP,no index
/AWARD_CONTRACT/AWARDED_CONTRACT/CONTRACTORS/CONTRACTOR,no index
/AWARD_CONTRACT/AWARDED_CONTRACT/CONTRACTORS/CONTRACTOR/ADDRESS_CONTRACTOR,V.2.3
/AWARD_CONTRACT/AWARDED_CONTRACT/CONTRACTORS/CONTRACTOR/ADDRESS_CONTRACTOR/OFFICIALNAME,V.2.3.2
/AWARD_CONTRACT/AWARDED_CONTRACT/CONTRACTORS/CONTRACTOR/ADDRESS_CONTRACTOR/NATIONALID,V.2.3.3
/AWARD_CONTRACT/AWARDED_CONTRACT/CONTRACTORS/CONTRACTOR/ADDRESS_CONTRACTOR/ADDRESS,V.2.3.4
/AWARD_CONTRACT/AWARDED_CONTRACT/CONTRACTORS/CONTRACTOR/ADDRESS_CONTRACTOR/TOWN,V.2.3.5
/AWARD_CONTRACT/AWARDED_CONTRACT/CONTRACTORS/CONTRACTOR/ADDRESS_CONTRACTOR/NUTS,V.2.3.6
/AWARD_CONTRACT/AWARDED_CONTRACT/CONTRACTORS/CONTRACTOR/ADDRESS_CONTRACTOR/POSTAL_CODE,V.2.3.7
/AWARD_CONTRACT/AWARDED_CONTRACT/CONTRACTORS/CONTRACTOR/ADDRESS_CONTRACTOR/COUNTRY,V.2.3.8
/AWARD_CONTRACT/AWARDED_CONTRACT/CONTRACTORS/CONTRACTOR/ADDRESS_CONTRACTOR/PHONE,V.2.3.10
/AWARD_CONTRACT/AWARDED_CONTRACT/CONTRACTORS/CONTRACTOR/ADDRESS_CONTRACTOR/E_MAIL,V.2.3.9
/AWARD_CONTRACT/AWARDED_CONTRACT/CONTRACTORS/CONTRACTOR/ADDRESS_CONTRACTOR/FAX,
/AWARD_CONTRACT/AWARDED_CONTRACT/CONTRACTORS/CONTRACTOR/ADDRESS_CONTRACTOR/URL,V.2.3.11
/AWARD_CONTRACT/AWARDED_CONTRACT/CONTRACTORS/CONTRACTOR/SME,V.2.3.12
/AWARD_CONTRACT/AWARDED_CONTRACT/CONTRACTORS/CONTRACTOR/NO_SME,no index
/AWARD_CONTRACT/AWARDED_CONTRACT/VALUES,V.2.4
/AWARD_CONTRACT/AWARDED_CONTRACT/VALUES/VAL_ESTIMATED_TOTAL,V.2.4.2
/AWARD_CONTRACT/AWARDED_CONTRACT/VALUES/VAL_ESTIMATED_TOTAL/@CURRENCY,no index
/AWARD_CONTRACT/AWARDED_CONTRACT/VALUES/VAL_TOTAL,V.2.4.3
/AWARD_CONTRACT/AWARDED_CONTRACT/VALUES/VAL_TOTAL/@CURRENCY,V.2.4.6
/AWARD_CONTRACT/AWARDED_CONTRACT/VALUES/VAL_RANGE_TOTAL,no index
/AWARD_CONTRACT/AWARDED_CONTRACT/VALUES/VAL_RANGE_TOTAL/@CURRENCY,V.2.4.6
/AWARD_CONTRACT/AWARDED_CONTRACT/VALUES/VAL_RANGE_TOTAL/LOW,V.2.4.4
/AWARD_CONTRACT/AWARDED_CONTRACT/VALUES/VAL_RANGE_TOTAL/HIGH,V.2.4.5
/AWARD_CONTRACT/AWARDED_CONTRACT/LIKELY_SUBCONTRACTED,V.2.5.1
/AWARD_CONTRACT/AWARDED_CONTRACT/VAL_SUBCONTRACTING,V.2.5.3
/AWARD_CONTRACT/AWARDED_CONTRACT/VAL_SUBCONTRACTING/@CURRENCY,V.2.5.4
/AWARD_CONTRACT/AWARDED_CONTRACT/PCT_SUBCONTRACTING,V.2.5.5
/AWARD_CONTRACT/AWARDED_CONTRACT/INFO_ADD_SUBCONTRACTING,V.2.5.6
/PROCEDURE/PT_AWARD_CONTRACT_WITHOUT_CALL/D_ACCORDANCE_ARTICLE,D1.1/D2.1
/PROCEDURE/PT_AWARD_CONTRACT_WITHOUT_CALL/D_ACCORDANCE_ARTICLE/D_PROC_OPEN,D1.1.1
/PROCEDURE/PT_AWARD_CONTRACT_WITHOUT_CALL/D_ACCORDANCE_ARTICLE/D_PROC_RESTRICTED,D1.1.2
/PROCEDURE/PT_AWARD_CONTRACT_WITHOUT_CALL/D_ACCORDANCE_ARTICLE/D_MANUF_FOR_RESEARCH,D1.1.2
/PROCEDURE/PT_AWARD_CONTRACT_WITHOUT_CALL/D_ACCORDANCE_ARTICLE/D_TECHNICAL,D1.1.3.1
/PROCEDURE/PT_AWARD_CONTRACT_WITHOUT_CALL/D_ACCORDANCE_ARTICLE/D_ARTISTIC,D1.1.3.2
/PROCEDURE/PT_AWARD_CONTRACT_WITHOUT_CALL/D_ACCORDANCE_ARTICLE/D_PROTECT_RIGHTS,D1.1.3.3
/PROCEDURE/PT_AWARD_CONTRACT_WITHOUT_CALL/D_ACCORDANCE_ARTICLE/D_EXTREME_URGENCY,D1.1.4
/PROCEDURE/PT_AWARD_CONTRACT_WITHOUT_CALL/D_ACCORDANCE_ARTICLE/D_ADD_DELIVERIES_ORDERED,D1.1.5
/PROCEDURE/PT_AWARD_CONTRACT_WITHOUT_CALL/D_ACCORDANCE_ARTICLE/D_REPETITION_EXISTING,D1.1.6
/PROCEDURE/PT_AWARD_CONTRACT_WITHOUT_CALL/D_ACCORDANCE_ARTICLE/D_CONTRACT_AWARDED_DESIGN_CONTEST,D1.1.7
/PROCEDURE/PT_AWARD_CONTRACT_WITHOUT_CALL/D_ACCORDANCE_ARTICLE/D_COMMODITY_MARKET,D1.1.8
/PROCEDURE/PT_AWARD_CONTRACT_WITHOUT_CALL/D_ACCORDANCE_ARTICLE/D_FROM_WINDING_PROVIDER,D1.1.9.1
/PROCEDURE/PT_AWARD_CONTRACT_WITHOUT_CALL/D_ACCORDANCE_ARTICLE/D_FROM_LIQUIDATOR_CREDITOR,D1.1.9.2
/PROCEDURE/PT_AWARD_CONTRACT_WITHOUT_CALL/D_OUTSIDE_SCOPE,D1.2.1
/PROCEDURE/PT_AWARD_CONTRACT_WITHOUT_CALL/D_JUSTIFICATION,D1.3.1
/CONTRACTING_BODY/CE_ACTIVITY,I.6
/CONTRACTING_BODY/CE_ACTIVITY_OTHER,no index
/LEFTI/RULES_CRITERIA,no index
/PROCEDURE/PT_NEGOTIATED_WITH_PRIOR_CALL,IV.1.1.3
/LEFTI/DEPOSIT_GUARANTEE_REQUIRED,III.1.6
/LEFTI/MAIN_FINANCING_CONDITION,III.1.7
/LEFTI/LEGAL_FORM,III.1.8
/OBJECT_CONTRACT/VAL_TOTAL/@PUBLICATION,no index
/OBJECT_CONTRACT/VAL_RANGE_TOTAL/@PUBLICATION,no index
/OBJECT_CONTRACT/OBJECT_DESCR/AC/@PUBLICATION,no index
/AWARD_CONTRACT/AWARDED_CONTRACT/TENDERS/@PUBLICATION,no index
/AWARD_CONTRACT/AWARDED_CONTRACT/CONTRACTORS/@PUBLICATION,no index
/AWARD_CONTRACT/AWARDED_CONTRACT/VALUES/@PUBLICATION,no index
/AWARD_CONTRACT/AWARDED_CONTRACT/VAL_BARGAIN_PURCHASE,V.2.6
/AWARD_CONTRACT/AWARDED_CONTRACT/VAL_BARGAIN_PURCHASE/@CURRENCY,no index
/PROCEDURE/PT_AWARD_CONTRACT_WITHOUT_CALL/D_ACCORDANCE_ARTICLE/D_NO_TENDERS_REQUESTS,D1.1.1
/PROCEDURE/PT_AWARD_CONTRACT_WITHOUT_CALL/D_ACCORDANCE_ARTICLE/D_PURE_RESEARCH,D1.1.2
/PROCEDURE/PT_AWARD_CONTRACT_WITHOUT_CALL/D_ACCORDANCE_ARTICLE/D_BARGAIN_PURCHASE,D1.1.10
/OBJECT_CONTRACT/OBJECT_DESCR/INDEFINITE_DURATION,II.2.8.3
/LEFTI/QUALIFICATION,III.1.9
/LEFTI/QUALIFICATION/CONDITIONS,III.1.9.1
/LEFTI/QUALIFICATION/METHODS,III.1.9.2
/LEFTI/CRITERIA_SELECTION,III.1.10
/LEFTI/NO_PARTICULAR_PROFESSION,no index
/PROCEDURE/NB_PARTICIPANTS,IV.1.2.2.1
/PROCEDURE/NB_MIN_PARTICIPANTS,IV.1.2.2.2
/PROCEDURE/NB_MAX_PARTICIPANTS,IV.1.2.2.3
/PROCEDURE/PARTICIPANT_NAME,IV.1.7
/PROCEDURE/CRITERIA_EVALUATION,IV.1.9
/PROCEDURE/PRIZE_AWARDED,IV.3.1.1
/PROCEDURE/NUMBER_VALUE_PRIZE,IV.3.1.2
/PROCEDURE/NO_PRIZE_AWARDED,no index
/PROCEDURE/DETAILS_PAYMENT,IV.3.2
/PROCEDURE/FOLLOW_UP_CONTRACTS,IV.3.3.1
/PROCEDURE/NO_FOLLOW_UP_CONTRACTS,no index
/PROCEDURE/DECISION_BINDING_CONTRACTING,IV.3.4.1
/PROCEDURE/NO_DECISION_BINDING_CONTRACTING,no index
/PROCEDURE/MEMBER_NAME,IV.3.5
/RESULTS,V
/RESULTS/NO_AWARDED_PRIZE,V.1
/RESULTS/NO_AWARDED_PRIZE/PROCUREMENT_DISCONTINUED,V.1.2
/RESULTS/NO_AWARDED_PRIZE/PROCUREMENT_UNSUCCESSFUL,V.1.1
/RESULTS/AWARDED_PRIZE,V.2
/RESULTS/AWARDED_PRIZE/DATE_DECISION_JURY,V.3.1
/RESULTS/AWARDED_PRIZE/PARTICIPANTS,V.3.2
/RESULTS/AWARDED_PRIZE/PARTICIPANTS/NB_PARTICIPANTS,V.2.2.1
/RESULTS/AWARDED_PRIZE/PARTICIPANTS/NB_PARTICIPANTS_SME,V.2.2.2
/RESULTS/AWARDED_PRIZE/PARTICIPANTS/NB_PARTICIPANTS_OTHER_EU,V.2.2.3
/RESULTS/AWARDED_PRIZE/WINNERS,no index
/RESULTS/AWARDED_PRIZE/WINNERS/WINNER,no index
/RESULTS/AWARDED_PRIZE/WINNERS/WINNER/ADDRESS_WINNER,V.2.3
/RESULTS/AWARDED_PRIZE/WINNERS/WINNER/ADDRESS_WINNER/OFFICIALNAME,V.2.3.1
/RESULTS/AWARDED_PRIZE/WINNERS/WINNER/ADDRESS_WINNER/NATIONALID,V.2.3.2
/RESULTS/AWARDED_PRIZE/WINNERS/WINNER/ADDRESS_WINNER/ADDRESS,V.2.3.3
/RESULTS/AWARDED_PRIZE/WINNERS/WINNER/ADDRESS_WINNER/TOWN,V.2.3.4
/RESULTS/AWARDED_PRIZE/WINNERS/WINNER/ADDRESS_WINNER/NUTS,V.2.3.5
/RESULTS/AWARDED_PRIZE/WINNERS/WINNER/ADDRESS_WINNER/POSTAL_CODE,V.2.3.6
/RESULTS/AWARDED_PRIZE/WINNERS/WINNER/ADDRESS_WINNER/COUNTRY,V.2.3.7
/RESULTS/AWARDED_PRIZE/WINNERS/WINNER/ADDRESS_WINNER/PHONE,V.2.3.9
/RESULTS/AWARDED_PRIZE/WINNERS/WINNER/ADDRESS_WINNER/E_MAIL,V.2.3.8
/RESULTS/AWARDED_PRIZE/WINNERS/WINNER/ADDRESS_WINNER/FAX,V.2.3.11
/RESULTS/AWARDED_PRIZE/WINNERS/WINNER/ADDRESS_WINNER/URL,V.2.3.10
/RESULTS/AWARDED_PRIZE/WINNERS/WINNER/SME,V.2.3.12
/RESULTS/AWARDED_PRIZE/WINNERS/WINNER/NO_SME,no index
/RESULTS/AWARDED_PRIZE/VAL_PRIZE,V.3.4.1
/RESULTS/AWARDED_PRIZE/VAL_PRIZE/@CURRENCY,V.3.4.2
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/OFFICIALNAME,
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/NATIONALID,
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/ADDRESS,
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/TOWN,
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/POSTAL_CODE,
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/COUNTRY,
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/CONTACT_POINT,
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/PHONE,
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/E_MAIL,
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/FAX,
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/NUTS,
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/URL_GENERAL,
/CONTRACTING_BODY/ADDRESS_CONTRACTING_BODY_ADDITIONAL/URL_BUYER,
/COMPLEMENTARY_INFO/NOTICE_NUMBER_OJ,
/CHANGES,VII
/CHANGES/CHANGE,VII.1.2
/CHANGES/CHANGE/WHERE,no index
/CHANGES/CHANGE/WHERE/SECTION,no index
/CHANGES/CHANGE/OLD_VALUE,no index
/CHANGES/CHANGE/NEW_VALUE,no index
/CHANGES/CHANGE/WHERE/LOT_NO,no index
/CHANGES/CHANGE/WHERE/LABEL,no index
/CHANGES/CHANGE/OLD_VALUE/NOTHING,no index
/CHANGES/CHANGE/NEW_VALUE/NOTHING,no index
/CHANGES/CHANGE/OLD_VALUE/TEXT,no index
/CHANGES/CHANGE/NEW_VALUE/TEXT,no index
/CHANGES/CHANGE/OLD_VALUE/CPV_MAIN,no index
