Keep;Level;ID;Name;Data type;Repeatable;Description;Legal Status;Level;Element
y;++;BT-124;    Tool Atypical URL;URL;Yes;Electronic communication requires the use of tools and devices that are not generally available. The uniform resource locator (e.g. the web address) which gives unrestricted and full direct access to these tools and devices.;O;I.3.5;Electronic communication requires the use of tools and devices that are not generally available. Unrestricted and full direct access to these tools and devices is possible, free of charge, at: (URL)
y;+;BG-101;Procurement Documents;-;Yes;Information about the procurement documents. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.;O;---;
y;++;BT-15;    Documents URL;URL;No;The internet address for accessing (the non-restricted part of) the procurement documents. For all notices except prior information notices, the address must give access that is direct (i.e. the exact webpage with the documents, not a general website), unrestricted (e.g. no registration), full (i.e. the procurement documents must be complete) and free of charge and the documents must be available already at the time of the publication of the notice.;O;I.3.1;The procurement documents are available for unrestricted and full direct access, free of charge, at: (URL)
y;++;BT-708;    Documents Official Language;Code;Yes;The language(s) in which the procurement documents are officially available. These linguistic versions are equally legally valid.;O;new term overall;
y;++;BT-737;    Documents Unofficial Language;Code;Yes;The language(s) in which the procurement documents (or their parts) are unofficially available. These linguistic versions are not an official translation, they are provided only for information.;O;new term overall;
y;++;BT-14;    Documents Restricted;Indicator;No;The access to certain procurement documents is restricted.;O;new term;
y;++;BT-707;    Documents Restricted Justification;Code;No;The justification for restricting access to certain procurement documents.;O;new term overall;
y;++;BT-615;    Documents Restricted URL;URL;No;The internet address with information on accessing the restricted (part of the) procurement documents.;O;I.3.2;Access to the procurement documents is restricted. Further information can be obtained at (URL)
y;++;BT-13;    Additional Information Deadline;Date;No;The time limit for requesting additional information about the procurement procedure.;O;new term;
y;+;BG-710;Additional Information;-;Yes;Any information not mentioned elsewhere. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.;O;---;
y;++;BT-300;    Additional Information;Text;No;Any information not mentioned elsewhere.;O;VI.3;Additional information
