Label,Set,Comment,EN,FR,DE,BG,CS,DA,EL,ES,ET,FI,GA,HR,HU,IT,LT,LV,MT,NL,PL,PT,RO,SK,SL,SV,bb,cc,dd
address_send_appl_tenders,,,"Applications or, where applicable, tenders must be submitted","Les candidatures ou, le cas échéant, les offres doivent être envoyées",Bewerbungen oder gegebenenfalls Angebote sind einzureichen,"Заявленията или, където е приложимо, офертите трябва да бъдат изпратени",Žádosti nebo případné nabídky musí být zaslány,"Ansøgninger eller, i givet fald, bud skal sendes","Οι αιτήσεις συμμετοχής ή, κατά περίπτωση, οι προσφορές πρέπει να υποβάλλονται","Las solicitudes o, en su caso, las ofertas deben enviarse",Taotlused või (kohaldatavuse korral) pakkumused tuleb saata,Hakemukset tai soveltuvissa tapauksissa tarjoukset on lähetettävä,"Ní mór iarratais nó, nuair is infheidhme, tairiscintí a sheoladh","Prijave ili, prema potrebi, ponude moraju se podnijeti","A részvételi jelentkezés, illetve adott esetben ajánlat benyújtandó","Le candidature o, se del caso, le offerte devono essere inviate","Paraiškos arba, jei taikoma, pasiūlymai turi būti pateikiami",Pieteikumi vai attiecīgā gadījumā piedāvājumi jāsūta,"Applikazzjonijiet jew, fejn applikabbli, offerti għandhom jintbagħtu","Aanvragen of, indien van toepassing, inschrijvingen moeten worden ingediend","Wnioski lub, w stosownym przypadku, oferty należy przesyłać","As candidaturas ou, quando aplicável, as propostas devem ser enviadas","Candidaturile sau, dacă este cazul, ofertele trebuie depuse",Prihlášky alebo prípadné ponuky sa musia odoslať,"Prijave ali, kjer primerno, ponudbe je treba poslati","Ansökningar eller, där det är tillämpligt, anbud ska skickas",,,
address_send_tenders,,,electronically via,par voie électronique via,elektronisch via,електронно посредством,elektronicky prostřednictvím,elektronisk via,ηλεκτρονικά στη διεύθυνση,por vía electrónica a,elektrooniliselt aadressil,sähköisesti osoitteessa,go leictreonach trí,elektronički na,elektronikusan,in versione elettronica,elektroniniu būdu per,elektroniski,b'mod elettroniku permezz ta',via elektronische weg op,drogą elektroniczną za pośrednictwem,eletronicamente para,pe cale electronică via,elektronicky prostredníctvom,elektronsko prek,elektroniskt via,,,
address_send_tenders_request,,,Tenders or requests to participate must be submitted,Les offres ou les demandes de participation doivent être envoyées,Angebote oder Teilnahmeanträge sind einzureichen,Офертите или заявленията за участие трябва да бъдат изпратени,Nabídky nebo žádosti o účast musí být zaslány,Bud eller ansøgninger om deltagelse skal sendes,Οι προσφορές ή οι αιτήσεις συμμετοχής πρέπει να υποβάλλονται,Las ofertas o solicitudes de participación deben enviarse,Pakkumused või osalemistaotlused saata,Tarjoukset tai osallistumishakemukset on tehtävä/jätettävä,Ní mór tairiscintí nó iarratais ar rannpháirtíocht a sheoladh,Ponude ili zahtjevi za sudjelovanje moraju se podnijeti,Az ajánlat vagy részvételi jelentkezés benyújtandó,Le offerte o le domande di partecipazione vanno inviate,Pasiūlymai arba prašymai dalyvauti turi būti siunčiami,Piedāvājumi vai dalības pieteikumi jāsūta,Offerti jew talbiet għall-parteċipazzjoni għandhom jintbagħtu,Inschrijvingen of aanvragen tot deelneming moeten worden ingediend,Oferty lub wnioski o dopuszczenie do udziału w postępowaniu należy przesyłać,As propostas ou pedidos de participação devem ser enviados para,Ofertele sau cererile de participare trebuie depuse,Ponuky alebo žiadosti o účasť sa musia predložiť,Ponudbe ali prijave za sodelovanje je treba poslati,Anbud eller anbudsansökningar ska skickas,,,
address_to_above,,,to the abovementioned address,au(x) point(s) de contact susmentionné(s),an die oben genannten Kontaktstellen,горепосоченото/ите място/места за контакт,na výše uvedenou adresu,til den ovennævnte adresse,στην προαναφερθείσα διεύθυνση,a la dirección mencionada arriba,eespool nimetatud aadressil,edellä mainittuun osoitteeseen,chuig an seoladh thuasluaite,na prethodno navedenu adresu,a fent említett címre,all'indirizzo sopraindicato,pirmiau nurodytu adresu,uz iepriekš minēto adresi,l-indirizz imsemmi hawn fuq,het hierboven vermelde adres,na adres podany powyżej,o endereço indicado acima,la adresa menţionată mai sus,na vyššie uvedenej adrese,na zgoraj navedeni naslov,till ovannämnda adress,,,
address_town,,,Town,Ville,Ort,Град,Obec,By,Πόλη,Localidad,Linn,Postitoimipaikka,Baile,Mjesto,Város,Città,Miestas,Pilsēta,Belt,Plaats,Miejscowość,Localidade,Localitate,Mesto/obec,Kraj,Ort,,,
allocation_percentage,MOVE,,Percentage allocated to the operator,Pourcentage affecté à l'opérateur,An den Betreiber vergebener Prozentsatz,"Процент, предназначен за оператора",Procentuální podíl přidělený provozovateli,Procentdel tildelt operatøren,Ποσοστό που χορηγείται στον φορέα,Porcentaje asignado al operador,Teenusepakkujale eraldatud protsent,Toimijalle jaettava prosenttiosuus,An céatadán arna leithdháileadh ar an oibreoir,Postotak dodijeljen subjektu,A szolgáltatónak megállapított százalék,Percentuale destinata all'operatore,Vykdytojui skiriama procentinė dalis,Pakalpojumu sniedzējam piešķirtie ieņēmumi procentos,Il-persentaġġ allokat lill-operatur,Percentage toegewezen aan de exploitant,Odsetek przydzielony podmiotowi świadczącemu usługi publiczne,Percentagem atribuída ao operador,Procentajul alocat operatorului,Percentuálny podiel vyčlenený pre poskytovateľa,Delež dodeljen izvajalcu,Procentandel tilldelad företaget,,,
allocation_rest,MOVE,,the rest is considered to be attributed to competent authority,le reste est réputé revenir à l'autorité compétente,der verbleibende Anteil entfällt auf die zuständige Behörde,остатъкът се разглежда като приписан за компетентния орган,zbytek se považuje za přidělený příslušnému orgánu,resten anses som tilhørende den kompetente myndighed,το υπόλοιπο θεωρείται ότι ανήκει στην αρμόδια αρχή,se prevé que el resto se asigne a la autoridad competente,ülejäänut peetakse pädevale asutusele antuks,jäljelle jäävä osuus osoitetaan toimivaltaiselle viranomaiselle,breithnítear an chuid eile a bheith sannta don údarás inniúil,ostatak se smatra dodijeljenim nadležnom tijelu,a fennmaradó rész az illetékes hatóságot illeti,la parte restante è da considerarsi attribuita all'autorità competente,likusiąją dalį numatoma skirti kompetentingai institucijai,"uzskatāms, ka pārējā daļa piešķirta kompetentajai iestādei",il-kumplament jitqies li se jgħaddi lill-awtorità kompetenti,de rest wordt als toegewezen aan de bevoegde instantie beschouwd,"uznaje się, że pozostała część jest przyznawana właściwemu organowi",considera-se que o restante foi atribuído à autoridade competente,restul se consideră a fi atribuit autorităţii competente,zvyšná časť sa považuje za prisúdenú príslušnému orgánu,preostali del se dodeli pristojnemu organu,resten ska anses tillkomma den behöriga myndigheten,,,
allocation_revenues,MOVE,,Allocation of revenues of sales from tickets,Affectation des recettes provenant de la vente des titres de transport,Zuteilung der Erträge aus dem Verkauf von Fahrscheinen,Разпределяне на приходи от продажби на билети,Rozdělení výnosů z prodeje jízdenek,Fordeling af indtægter fra billetsalg,Κατανομή των εσόδων από την πώληση εισιτηρίων,Distribución de los ingresos derivados de la venta de los títulos de transporte,Piletimüügist saadava tulu jaotamine,Matkalippujen myynnistä saatavien tulojen jakaminen,Leithdháileadh an ioncaim ó dhíolachán ticéad,Dodjela prihoda od prodaje karata,A jegyértékesítésből származó bevételek megosztása,Ripartizione dei ricavi dalla vendita di biglietti,"Pajamų, gautų pardavus bilietus, paskirstymas",Biļešu pārdošanā iegūto ieņēmumu sadale,L-allokazzjoni tad-dħul mill-bejgħ tal-biljetti,Verdeelsleutel voor de ontvangsten uit de verkoop van vervoerbewijzen,Podział przychodów ze sprzedaży biletów,Repartição das receitas ligadas à venda de títulos de transporte,Alocarea veniturilor încasate din vânzarea de bilete,Vyčlenenie výnosov z predaja lístkov,Razporeditev prihodkov iz prodaje vozovnic,Tilldelning av inkomster från biljettförsäljning,,,
annex_d1,,,Annex D1 – General procurement,Annexe D1 – Marchés publics,Anhang D1 – Allgemeine Aufträge,Приложение Г1 – обществени поръчки,Příloha D1 – Obecné zakázky,Bilag D1 – Offentlige indkøb,Παράρτημα Δ1 – Γενικές συμβάσεις,Anexo D1 – Contratación pública general,D1 lisa – Üldhange,Liite D1 – Julkiset hankinnat,Iarscríbhinn D1 – Soláthar ginearálta,Prilog D1 – Opća nabava,D1. melléklet – Általános beszerzés,Allegato D1 – Appalti generici,D1 priedas. Bendrieji pirkimai,D1. pielikums – Vispārēja rakstura iepirkumi,Anness D1 – Akkwist ġenerali,Bijlage D1 – Algemene aanbesteding,Załącznik D1 – Zamówienia ogólne,Anexo D1 – Contratos públicos,Anexa D1 – Achiziții publice generale,Príloha D1 – Všeobecné obstarávanie,Priloga D1 – Splošna javna naročila,Bilaga D1 – Allmän upphandling,,,
annex_d2,,,Annex D2 – Utilities,Annexe D2 – Secteurs spéciaux,Anhang D2 – Sektoren,Приложение Г2 – комунални услуги,Příloha D2 – Veřejné služby,Bilag D2 – Forsyningsvirksomhed,Παράρτημα Δ2 – Υπηρεσίες κοινής ωφέλειας,Anexo D2 – Sectores especiales,D2 lisa – Võrgustikega seotud sektorid,Liite D2 – Erityisalat,Iarscríbhinn D2 – Fóntais,Prilog D2 – Sektorska nabava,D2. melléklet – Közszolgáltatások,Allegato D2 – Servizi di pubblica utilità,D2 priedas. Komunalinės paslaugos,D2. pielikums – Sabiedriskie pakalpojumi,Anness D2 – Utilitajiet,Bijlage D2 – Speciale sectoren,Załącznik D2 – Zamówienia sektorowe,Anexo D2 – Sectores especiais,Anexa D2 – Utilități,Príloha D2 – Vybrané odvetvia,Priloga D2 – Gospodarske javne službe,Bilaga D2 – Försörjningssektorerna,,,
annex_d3,,,Annex D3 – Defence and security,Annexe D3 – Défense et sécurité,Anhang D3 – Verteidigung und Sicherheit,Приложение Г3 – отбрана и сигурност,Příloha D3 – Obrana a bezpečnost,Bilag D3 – Forsvar og sikkerhed,Παράρτημα Δ3 – Άμυνα και ασφάλεια,Anexo D3 – Defensa y seguridad,D3 lisa – Kaitse- ja julgeolekuvaldkond,Liite D3 – Puolustus ja turvallisuus,Iarscríbhinn D3 – Cosaint agus slándáil,Prilog D3 – Obrana i sigurnost,D3. melléklet – Honvédelem és biztonság,Allegato D3 – Difesa e sicurezza,D3 priedas. Gynyba ir saugumas,D3. pielikums – Aizsardzības un drošības joma,Anness D3 – Difiża u sigurtà,Bijlage D3 – Defensie en veiligheid,Załącznik D3 – Obronność i bezpieczeństwo,Anexo D3 – Defesa e segurança,Anexa D3 – Apărare și securitate,Príloha D3 – Obrana a bezpečnosť,Priloga D3 – Obramba in varnost,Bilaga D3 – Försvar och säkerhet,,,
annex_d4,,,Annex D4 – Concession,Annexe D4 – Concession,Anhang D4 – Konzession,Приложение Г4 – Концесия,Příloha D4 – Koncese,Bilag D4 – Koncession,Παράρτημα Δ4 – Παραχώρηση,Anexo D4 – Concesión,D4 lisa – Kontsessioon,Liite D4 – Käyttöoikeussopimus,Iarscríbhinn D4 – Lamháltas,Prilog D4 – Koncesija,D4. melléklet – Koncesszió,Allegato D4 – Concessione,D4 priedas. Koncesija,D4. pielikums – Koncesija,Anness D4 – Konċessjoni,Bijlage D4 – Concessieovereenkomst,Załącznik D4 – Koncesja,Anexo D4 – Concessão,Anexa D4 – Concesiune,Príloha D4 – Koncesia,Priloga D4 – Koncesija,Bilaga D4 – Koncession,,,
appeals_body,,,Review body,Instance chargée des procédures de recours,Zuständige Stelle für Rechtsbehelfs-/Nachprüfungsverfahren,"Орган, който отговаря за процедурите по обжалване",Orgán příslušný k přezkumu,Organ med ansvar for klageprocedurerne,Φορέας αρμόδιος για τις διαδικασίες προσφυγής,Órgano competente para los procedimientos de recurso,Läbivaatamise eest vastutav organ,Muutoksenhakuelin,Comhlacht athbhreithniúcháin,Tijelo nadležno za postupak pravne zaštite,A jogorvoslati eljárást lebonyolító szerv,Organismo responsabile delle procedure di ricorso,Peržiūros institucija,"Struktūra, kas atbildīga par pārskatīšanu",Korp responsabbli għall-proċeduri ta' analiżi mill-ġdid,Beroepsinstantie,Organ odpowiedzialny za procedury odwoławcze,Organismo responsável pelos processos de recurso,Organismul de soluţionare a contestaţiilor,Orgán zodpovedný za preskúmanie,"Organ, pristojen za revizijo",Behörigt organ vid överprövning,,,
appeals_deadline,,,Precise information on deadline(s) for review procedures,Précisions concernant les délais d'introduction de recours,Genaue Angaben zu den Fristen für die Einlegung von Rechtsbehelfen,Точна информация относно краен срок/крайни срокове за подаване на жалби,Přesné informace o lhůtách pro přezkumná řízení,Præcise oplysninger om klagefrist(er),Ακριβείς πληροφορίες σχετικά με την (τις) προθεσμία(-ες) για την υποβολή προσφυγών,Información precisa sobre el plazo o los plazos de recurso,Täpne teave läbivaatamismenetluse tähtaegade kohta,Muutoksenhakumenettelyjen määräaikaa (-aikoja) koskevat tarkat tiedot,Faisnéis chruinn faoi spriocdháta(í) le haghaidh nósanna imeachta athbhreithniúcháin,Detaljnji podaci o roku(-ovima) za postupke pravne zaštite,A jogorvoslati kérelmek benyújtásának határidejére vonatkozó pontos információ,Informazioni dettagliate sui termini di presentazione dei ricorsi,Tiksli informacija apie peržiūros procedūrų terminą (-us),Precīza informācija par pārskatīšanas procedūru termiņu(-iem),Informazzjoni preċiża dwar id-data/i tal-għeluq għall-proċeduri ta' analiżi mill-ġdid,Precieze aanduiding van de termijn(en) voor beroepsprocedures,Dokładne informacje na temat terminów składania odwołań,Informações precisas sobre o(s) prazo(s) de recurso,Precizări privind termenul (termenele) pentru procedurile de contestare,Presné informácie o termínoch na postup preskúmania,Natančne informacije o roku(-ih) za postopke revizije,Uppgifter om tidsfrist(er) för överprövning,,,
appeals_info,,,Service from which information about the review procedure may be obtained,Service auprès duquel des renseignements peuvent être obtenus sur l'introduction de recours,"Stelle, die Auskünfte über die Einlegung von Rechtsbehelfen erteilt","Служба, от която може да бъде получена информация относно подаването на жалби","Subjekt, u kterého lze získat informace o přezkumném řízení","Tjeneste, hvor der kan fås oplysninger om klageproceduren",Υπηρεσία από την οποία παρέχονται πληροφορίες για την υποβολή προσφυγών,Servicio del cual se puede obtener información sobre el procedimiento de recurso,Läbivaatamise korra kohta teavet pakkuv asutus,"Yksikkö, josta saa tietoa muutoksenhakumenettelystä",Seirbhís ónar féidir faisnéis a fháil faoin nós imeachta athbhreithniúcháin,Služba od koje se mogu dobiti podaci o postupku pravne zaštite,A jogorvoslati kérelmek benyújtására vonatkozó információ a következő szervtől szerezhető be,Servizio presso il quale sono disponibili informazioni sulle procedure di ricorso,"Tarnyba, kuri gali suteikti informacijos apie peržiūros procedūrą","Dienests, no kura var iegūt informāciju par pārskatīšanas procedūru",Servizz minn fejn tista’ tinkiseb informazzjoni dwar il-proċedura ta' analiżi mill-ġdid,Dienst waar inlichtingen over de beroepsprocedures kunnen worden verkregen,"Źródło, gdzie można uzyskać informacje na temat składania odwołań",Serviço junto do qual podem ser obtidas informações sobre os processos de recurso,Serviciul de la care se pot obţine informaţii privind procedura de contestare,"Útvar, od ktorého možno získať informácie o postupe preskúmania","Služba, pri kateri lahko dobite informacije o postopku revizije",Organ som kan lämna information om överprövning,,,
appeals_lodging,,,Review procedure,Introduction de recours,Einlegung von Rechtsbehelfen,Подаване на жалби,Přezkumné řízení,Klageprocedure,Υποβολή προσφυγών,Procedimiento de recurso,Läbivaatamise kord,Muutoksenhakumenettely,Nós imeachta athbhreithniúcháin,Postupak pravne zaštite,Jogorvoslati kérelmek benyújtása,Procedure di ricorso,Peržiūros procedūra,Pārskatīšanas procedūra,Proċedura ta' analiżi mill-ġdid,Beroepsprocedure,Składanie odwołań,Processo de recurso,Procedura de contestare,Postup preskúmania,Postopek revizije,Överprövning,,,
appeals_procedure,,,Procedures for review,Procédures de recours,Rechtsbehelfsverfahren/Nachprüfungsverfahren,Процедури по обжалване,Přezkumná řízení,Klageprocedurer,Διαδικασίες προσφυγής,Procedimientos de recurso,Läbivaatamise kord,Muutoksenhakumenettelyt,Nósanna imeachta athbhreithniúcháin,Postupci pravne zaštite,Jogorvoslati eljárás,Procedure di ricorso,Peržiūros procedūros,Pārskatīšanas procedūras,Proċeduri ta' analiżi mill-ġdid,Beroepsprocedures,Procedury odwoławcze,Procedimentos de recurso,Proceduri de contestare,Postupy preskúmania,Postopki za revizijo,Överprövningsförfaranden,,,
areas_covered,MOVE,,Areas covered by the public transport services,Domaines couverts par les services publics de transport,Vom öffentlichen Verkehrswesen abgedeckte Bereiche,"Области, обхванати от обществените превозни услуги",Oblasti pokryté službami veřejné dopravy,Områder omfattet af den offentlige transporttjeneste,Τομείς που καλύπτουν οι υπηρεσίες δημοσίων μεταφορών,Ámbitos cubiertos por los servicios de transporte público,Avaliku transpordi teenustega hõlmatud valdkonnad,"Alueet, joita julkinen liikennepalvelu koskee",Limistéir arna gclúdach ag seirbhísí iompair phoiblí,Područja obuhvaćena uslugama javnog prijevoza,A közlekedési közszolgáltatások által lefedett területek,Settori oggetto dei servizi di trasporto pubblico,Viešojo transporto paslaugų sritys,Sabiedriskā transporta pakalpojumu aptvertās jomas,L-oqsma li jaqgħu taħt is-servizzi tat-trasport pubbliku,Gebieden waar de openbare vervoersdiensten worden verleend,"Dziedziny, których dotyczą usługi transportu publicznego",Domínios abrangidos pelos serviços de transporte público,Domenii acoperite de serviciile publice de transport,Oblasti pokryté službami verejnej dopravy,"Področja, ki jih zajemajo storitve javnega prevoza",Områden som omfattas av de allmänna transporttjänsterna,,,
article_72,MOVE,,1370/07 – Art 7(2),"1370/07 – Art. 7, § 2",1370/07 – Art. 7.2,1370/07 – член 7.2,1370/07 – Čl. 7 odst. 2,1370/07 – art. 7.2,1370/07 – Άρθρο 7 παρ. 2,"1370/07 – Artículo 7, apartado 2",1370/07 – artikli 7 lõige 2,1370/07 – 7 artiklan 2 kohta,1370/07 – Airt 7(2),1370/07 – Članak 7. stavak 2.,1370/07 – 7.2. cikk,"1370/07 – Articolo 7, paragrafo 2",Reglamento (EB) Nr. 1370/2007 7 straipsnio 2 dalis,1370/07 — 7. panta 2. punkts,1370/07 – Art 7.2,"1370/07 – art. 7, lid 2",1370/07 – art. 7 ust. 2,1370/07 – N.º 2 do artigo 7.º,1370/2007 – Articolul 7 alineatul (2),1370/07 – čl. 7.2,1370/07 – člen 7.2,1370/07 – artikel 7.2,,,
article_73,MOVE,,1370/07 – Art 7(3),"1370/07 – Art. 7, § 3",1370/07 – Art. 7.3,1370/07 – член 7.3,1370/07 – Čl. 7 odst. 3,1370/07 – art. 7.3,1370/07 – Άρθρο 7 παρ. 3,"1370/07 – Artículo 7, apartado 3",1370/07 – artikli 7 lõige 3,1370/07 – 7 artiklan 3 kohta,1370/07 – Airt 7(3),1370/07 – Članak 7. stavak 3.,1370/07 – 7.3. cikk,"1370/07 – Articolo 7, paragrafo 3",Reglamento (EB) Nr. 1370/2007 7 straipsnio 3 dalis,1370/07 — 7. panta 3. punkts,1370/07 – Art 7.3,"1370/07 – art. 7, lid 3",1370/07 – art. 7 ust. 3,1370/07 – N.º 3 do artigo 7.º,1370/2007 – Articolul 7 alineatul (3),1370/07 – čl. 7.3,1370/07 – člen 7.3,1370/07 – artikel 7.3,,,
